Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.657262960538,0.725083328373,0.68798881019,0.695680316648,0.7264284864,0.694126837688,0.654245283019,0.730856794238
vowel0,0.933657510517,0.968089581787,0.952311309082,0.950645879733,0.937547636724,0.95575600099,0.955204157387,0.953632764167
yeast-1-2-8-9_vs_7,0.603069041299,0.61649227959,0.549606320937,0.556210006565,0.603677160335,0.571629134914,0.558407826013,0.583510193985
abalone19,0.502762856108,0.520833836311,0.570068807339,0.523730987446,0.499541284404,0.572252233221,0.558462095606,0.533490765331
vehicle0,0.91270706202,0.949131250586,0.925375646732,0.920358273134,0.929900056638,0.925564365707,0.916391420222,0.937698651461
vehicle1,0.658034784039,0.732335458795,0.700760918631,0.713293884998,0.747539200218,0.699898618953,0.681908286562,0.739969420506
yeast-0-5-6-7-9_vs_4,0.678013726122,0.752378889631,0.710329088829,0.696468638179,0.711740469474,0.71484068774,0.710370434882,0.771535881298
new-thyroid1,0.922712418301,0.963954248366,0.951241830065,0.951405228758,0.917875816993,0.938692810458,0.934477124183,0.944019607843
yeast-2_vs_8,0.772402597402,0.695497835497,0.724848484848,0.743722943723,0.770887445887,0.769632034632,0.733766233766,0.749177489177
yeast-1-4-5-8_vs_7,0.505326775379,0.554389066841,0.533452116624,0.522251392276,0.509745386379,0.537099455223,0.535592521142,0.546823153642
yeast-2_vs_4,0.849951600124,0.880135958869,0.87288907357,0.863658034494,0.883564926453,0.880329492347,0.878743015605,0.896348964254
glass-0-1-6_vs_2,0.518610675723,0.664335161964,0.623874521073,0.626974486242,0.498249738767,0.618325496343,0.592720306513,0.597526994079
wisconsin,0.953658490423,0.95788893936,0.952307139072,0.948788610039,0.961120921341,0.951097925657,0.945795385722,0.958369672193
glass2,0.520408163265,0.671253349825,0.617124046588,0.610164141414,0.566227324263,0.607002422181,0.585863739435,0.656507678829
glass0,0.773174603175,0.793392857143,0.775238095238,0.789206349206,0.79496031746,0.763531746032,0.719623015873,0.788630952381
glass1,0.727402745995,0.737490465294,0.750362318841,0.743363844393,0.723379099924,0.724294431732,0.702173913043,0.715465293669
glass6,0.901216523075,0.8974485741,0.915767047352,0.916153242503,0.907453082215,0.918699158485,0.91762973352,0.925490215722
poker-8-9_vs_6,0.523375482965,0.622279592554,0.670126448893,0.637047769582,0.519003336846,0.636497190024,0.633475588338,0.74181945908
ecoli4,0.862721518987,0.889873417722,0.868670886076,0.82335443038,0.84335443038,0.86335443038,0.873037974684,0.884683544304
ecoli1,0.823406615824,0.875103725324,0.844125160845,0.843161033173,0.868655964598,0.849362740483,0.83811599661,0.888379311427
ecoli2,0.836240520043,0.877004333694,0.876950162513,0.84707475623,0.862107258938,0.87153304442,0.878385698808,0.864463705309
ecoli3,0.706057741419,0.805544821019,0.764187031987,0.738125654677,0.796224040168,0.751581309787,0.791478768991,0.873739211358
abalone9-18,0.599158361019,0.700507547306,0.70779075786,0.697682122394,0.599389895999,0.698994535124,0.669782127209,0.676607203043
ecoli-0_vs_1,0.980784991098,0.970921203107,0.977210326738,0.979988104515,0.980731453498,0.979293660071,0.976515882293,0.981406336127
page-blocks0,0.906902262842,0.93405245322,0.933009601812,0.926251958826,0.930438059687,0.935490065995,0.925536578686,0.938527014123
yeast3,0.827352011478,0.907313667467,0.875392859404,0.873358924203,0.898608393795,0.88904261736,0.874544171052,0.92553753126
yeast4,0.612423517749,0.716633666755,0.678168320888,0.674418084892,0.653836819185,0.682882585368,0.692945716676,0.801455355211
yeast5,0.768768939394,0.918295454545,0.873781565657,0.873781565657,0.849406565657,0.878743686869,0.880599747475,0.933813131313
yeast6,0.701425454833,0.816772381169,0.784788326939,0.749085873811,0.717091301549,0.767562212908,0.766397729041,0.85877912942
segment0,0.981008052111,0.986472918038,0.985772054437,0.986129438482,0.982173159497,0.985719650574,0.985310220133,0.988147486356
page-blocks-1-3_vs_4,0.91583011583,0.990347490347,0.987258687259,0.962033462033,0.945752895753,0.991055341055,0.987258687259,0.996396396396
glass-0-1-2-3_vs_4-5-6,0.892868181502,0.888443726403,0.902856785491,0.90457350659,0.90594475714,0.911513538554,0.899104509763,0.906807379612
