Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.787943262411,0.788888888889,0.774231678487,0.773995271868,0.767375886525,0.779196217494,0.7768321513,0.727895981087
vowel0,0.981174089069,0.978340080971,0.975101214575,0.975708502024,0.982793522267,0.975910931174,0.978542510121,0.966599190283
yeast-1-2-8-9_vs_7,0.968111792045,0.937907779592,0.933261077064,0.939806067743,0.963044486668,0.932199534349,0.931572421299,0.774133593813
abalone19,0.991662673694,0.978294202204,0.959080019166,0.984044082415,0.991423095352,0.957259223766,0.960661236224,0.929563967417
vehicle0,0.944000938925,0.948238397568,0.942789278369,0.936657202897,0.932632120182,0.943030716266,0.940194938746,0.945157828847
vehicle1,0.775177725118,0.782484574801,0.771376196012,0.780128319771,0.762884512206,0.775888625593,0.780594429044,0.738818966288
yeast-0-5-6-7-9_vs_4,0.919315589353,0.894749982065,0.882631465672,0.888692158691,0.900793457206,0.889815625224,0.887940311357,0.834114355406
new-thyroid1,0.967410868812,0.97024056767,0.972092419522,0.972101073035,0.959034267913,0.96651955694,0.963707165109,0.956273797162
yeast-2_vs_8,0.976348547718,0.948132780083,0.949377593361,0.967219917012,0.973443983402,0.952697095436,0.948132780083,0.959336099585
yeast-1-4-5-8_vs_7,0.948633206177,0.902454565141,0.911107594409,0.907943395912,0.938821608836,0.905909446786,0.903026769502,0.827090170079
yeast-2_vs_4,0.949812257752,0.940476623062,0.943223110465,0.943192829457,0.947471535853,0.946705426357,0.943986191861,0.913199491279
glass-0-1-6_vs_2,0.905339120998,0.867813347802,0.867661421595,0.870819316332,0.887683125339,0.866652197504,0.866717308736,0.694085729788
wisconsin,0.959588242355,0.959293272281,0.957828711564,0.953735144312,0.960752688172,0.957244773714,0.954611479824,0.955185985492
glass2,0.906621243886,0.866526904263,0.87286862334,0.871855345912,0.900890985325,0.863539482879,0.858857442348,0.566125087352
glass0,0.809345794392,0.8,0.795327102804,0.81214953271,0.780373831776,0.794392523364,0.773831775701,0.808411214953
glass1,0.763551401869,0.751401869159,0.779439252336,0.763551401869,0.727102803738,0.754205607477,0.760747663551,0.742056074766
glass6,0.95890985325,0.926939203354,0.95428022362,0.958997204752,0.955206149546,0.958944793851,0.957110412299,0.950559049616
poker-8-9_vs_6,0.983300018502,0.984511505407,0.986936293093,0.983838557897,0.982761479106,0.984647364621,0.984242870566,0.980343039981
ecoli4,0.970833333333,0.969047619048,0.973214285714,0.967261904762,0.969642857143,0.972023809524,0.972619047619,0.941666666667
ecoli1,0.889345569216,0.887570421287,0.881667434362,0.874566842646,0.883400063778,0.887021223825,0.888105445913,0.877532508947
ecoli2,0.925,0.908928571428,0.932738095238,0.927380952381,0.931547619048,0.931547619047,0.940476190476,0.914285714286
ecoli3,0.90663288807,0.891776210892,0.897742975587,0.901272012189,0.905477801793,0.893544272402,0.904871912979,0.867859547178
abalone9-18,0.939806871772,0.920123512239,0.90013024927,0.919008907853,0.944460663223,0.900410210345,0.900132494947,0.706467549966
ecoli-0_vs_1,0.983601950574,0.96998925531,0.978163484586,0.981767088189,0.982750640549,0.980866187288,0.977262583685,0.983618480866
page-blocks0,0.971162530667,0.967836146143,0.965387355483,0.964655639857,0.969005523201,0.967287780226,0.967909272285,0.963048601366
yeast3,0.942448911387,0.937325065433,0.941777416935,0.942859945184,0.946763040742,0.945014830274,0.944071250702,0.928563670279
yeast4,0.962802440411,0.938135871826,0.939758937669,0.947574936928,0.959569022982,0.938271551121,0.93921731028,0.85067975872
yeast5,0.97884097035,0.973989218329,0.98167115903,0.98167115903,0.981401617251,0.982749326146,0.982075471698,0.948517520216
yeast6,0.979517693706,0.962258633435,0.970481670581,0.97641486987,0.973716177804,0.96953736448,0.972235693281,0.903263386751
segment0,0.991768283755,0.991160871508,0.992981456242,0.993155367327,0.99202772365,0.992461675359,0.993067735964,0.992721415618
page-blocks-1-3_vs_4,0.986440677966,0.98813559322,0.994915254237,0.991525423729,0.992372881356,0.995762711864,0.994915254237,0.993220338983
glass-0-1-2-3_vs_4-5-6,0.928127183788,0.905538085255,0.929000698812,0.928022361985,0.921470999301,0.931900768693,0.928004891684,0.904524807827
