Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.480539543807,0.585879893055,0.533781060348,0.544288623336,0.580937754899,0.541798233415,0.477823050566,0.576068520318
vowel0,0.893510409654,0.890773358849,0.87115695239,0.873509983433,0.903062553422,0.876916409989,0.887553798073,0.84151498261
yeast-1-2-8-9_vs_7,0.295864859778,0.221132483659,0.116687835534,0.131248313152,0.276850858092,0.150084030773,0.125637936195,0.141736254576
abalone19,0.01,0.0349178369692,0.0619881979041,0.0400013102726,0.0,0.0616969220929,0.0551122603059,0.022922957535
vehicle0,0.876855686452,0.896584012998,0.880203386606,0.868678654137,0.866519679355,0.880299657224,0.872522092469,0.888382171716
vehicle1,0.487296613451,0.596709171236,0.553623664595,0.572854089185,0.607649309565,0.554276253941,0.527516419655,0.591803215521
yeast-0-5-6-7-9_vs_4,0.466765021839,0.516291933879,0.448593585852,0.444545893192,0.477548637099,0.466902931818,0.456881864523,0.468020542313
new-thyroid1,0.895154698243,0.911947585067,0.915925879676,0.916108263082,0.871573154268,0.900319848964,0.89170040289,0.878393093834
yeast-2_vs_8,0.650285498815,0.39904584584,0.441169760149,0.557497868713,0.62639151698,0.50180338398,0.456585829712,0.540731677286
yeast-1-4-5-8_vs_7,0.0328173374614,0.129052756626,0.101323717632,0.077026748987,0.0520766045549,0.104994608039,0.105018931975,0.0828061490234
yeast-2_vs_4,0.741139936338,0.72830716002,0.73366264716,0.727642771082,0.751147971125,0.74538914932,0.737882141844,0.671836972046
glass-0-1-6_vs_2,0.0792929292929,0.353152831524,0.301437195931,0.31282982717,0.0422222222222,0.298549169784,0.255636532333,0.241784056576
wisconsin,0.941658459486,0.942524533172,0.939364175724,0.933788597438,0.944964718516,0.938267874453,0.933665310155,0.938288365315
glass2,0.087619047619,0.343367666568,0.268376935758,0.264402569108,0.203717948718,0.240717966244,0.218601442036,0.222093977158
glass0,0.692481636081,0.717615882704,0.692895525607,0.713065763231,0.714488631248,0.679610411939,0.615119403911,0.714332215452
glass1,0.642772548455,0.659139100549,0.674169154435,0.667933444769,0.648228682459,0.640850268471,0.593436648474,0.630857045858
glass6,0.840770872723,0.771118097814,0.837938386861,0.851424720277,0.833045348546,0.850709178968,0.848419578205,0.834119822829
poker-8-9_vs_6,0.0843406593406,0.329379699248,0.451493741896,0.338854864434,0.0676691729323,0.35722133173,0.348724520749,0.555074695836
ecoli4,0.755760930103,0.757459257692,0.766780139141,0.693291722486,0.737042652051,0.759468321272,0.769559854453,0.667059020551
ecoli1,0.743668395549,0.776581951685,0.748888954715,0.741373879706,0.768680395525,0.758774492216,0.752785710359,0.777727164064
ecoli2,0.744637687634,0.74249856197,0.787417015162,0.757034394177,0.776685705135,0.7804919234,0.804028954867,0.743456675878
ecoli3,0.497189100279,0.575038172482,0.553374900028,0.529656954238,0.590138383681,0.525180995474,0.589349676797,0.592579675432
abalone9-18,0.282164037568,0.396675909162,0.357871315404,0.387579518237,0.28916590741,0.356112598102,0.318762777945,0.215425016618
ecoli-0_vs_1,0.987371184493,0.976500060828,0.983076450573,0.985922768883,0.986682984883,0.985182926234,0.982203303329,0.987341773372
page-blocks0,0.853986214639,0.850464080597,0.840635089298,0.835427096837,0.85336045179,0.848573499998,0.847372227822,0.834354409444
yeast3,0.721296263116,0.753110357163,0.74867797898,0.750330008149,0.775688613547,0.765057580947,0.755338936673,0.742138091703
yeast4,0.29755443538,0.346818562347,0.305506454658,0.327052053079,0.349274092415,0.312770557442,0.32611730361,0.270950800737
yeast5,0.595900687504,0.664790398871,0.710794825177,0.709538330962,0.690857747412,0.724527295068,0.717990538239,0.54351671878
yeast6,0.471824554755,0.454006372752,0.48848032814,0.495735754008,0.433985366687,0.463246160173,0.479342601733,0.332897582219
segment0,0.970965211308,0.969387313273,0.975389924801,0.9760519768,0.971937920093,0.973660327722,0.975670563226,0.974670237111
page-blocks-1-3_vs_4,0.872721912548,0.91250833324,0.957718832891,0.927198686371,0.929855585028,0.965411140583,0.957718832891,0.947836990595
glass-0-1-2-3_vs_4-5-6,0.842360168158,0.809434090874,0.850354504594,0.85061975017,0.83889121743,0.857475373091,0.847062891727,0.82672617441
