Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.600616441966,0.712748622097,0.665268086653,0.677306439236,0.721104748503,0.671426121302,0.605550018049,0.722939717821
vowel0,0.930990808368,0.967752888702,0.951494392423,0.94963600938,0.935384592893,0.95497654174,0.954420353392,0.952967239962
yeast-1-2-8-9_vs_7,0.447566918137,0.500338439682,0.319354504191,0.367416310108,0.457904212747,0.405838470533,0.369260867355,0.491470976672
abalone19,0.0249818862432,0.165060231813,0.396797828206,0.145906347958,0.0,0.41399330094,0.375247499671,0.24175794474
vehicle0,0.910153818722,0.949035967788,0.924611594169,0.919667009749,0.9295537494,0.924681686012,0.914992471409,0.937457791833
vehicle1,0.61139218536,0.72406631663,0.684056246409,0.699276466338,0.746145012356,0.681700380372,0.649897311582,0.733421733357
yeast-0-5-6-7-9_vs_4,0.601101229796,0.729606787133,0.67263089201,0.650213892899,0.665851910254,0.678531006452,0.670959306337,0.756926589481
new-thyroid1,0.919645290035,0.963040388227,0.950043128022,0.950056555191,0.915100464944,0.937236810163,0.932726063867,0.942558133609
yeast-2_vs_8,0.733663743929,0.623045404524,0.673510679905,0.694736158117,0.732503840972,0.735727902927,0.689071226728,0.704483406172
yeast-1-4-5-8_vs_7,0.0771867928623,0.385973808494,0.325656057073,0.266044163063,0.138371335463,0.322347726167,0.309522627781,0.345542352205
yeast-2_vs_4,0.838809285538,0.875474875133,0.866622624352,0.856526986479,0.877991754368,0.873670563886,0.872648039663,0.893335801687
glass-0-1-6_vs_2,0.138609639638,0.598793150232,0.511412518519,0.541392088111,0.070506899251,0.533923124075,0.484225179259,0.495748454673
wisconsin,0.953294055869,0.957793176728,0.952057142824,0.948550400428,0.961098232148,0.950687852361,0.945044897834,0.958089481876
glass2,0.151701118464,0.619598739196,0.51345577054,0.50782907993,0.325370696926,0.475444848537,0.465115792509,0.612974343604
glass0,0.761207222813,0.791705514862,0.768275423112,0.783470124038,0.792235210377,0.755265242324,0.696280994785,0.784867986725
glass1,0.714551433407,0.731497200282,0.740526702113,0.737906356528,0.718397289911,0.714340728002,0.66860753787,0.706582342673
glass6,0.89418132649,0.893214392048,0.912910538871,0.912767047341,0.901221598226,0.914850472902,0.914415167122,0.924003051339
poker-8-9_vs_6,0.152401399138,0.42001488998,0.544062375226,0.472865280182,0.139692627548,0.504090644504,0.478424930428,0.631708925703
ecoli4,0.851178405598,0.883703329216,0.85665272657,0.796210892329,0.828229819534,0.852726599122,0.863331488407,0.879418599364
ecoli1,0.813117800779,0.874454984355,0.839790757378,0.840261208931,0.867404909279,0.845466314979,0.832051197568,0.88564656739
ecoli2,0.824556837236,0.875039307234,0.87205476465,0.838364792971,0.85566220331,0.866285859555,0.872738791044,0.859513578713
ecoli3,0.649698160413,0.793932393315,0.742444879233,0.705404409981,0.776153855845,0.723933123581,0.773912271365,0.870650698981
abalone9-18,0.451547653332,0.652380282411,0.666883277427,0.646490286451,0.440377348605,0.658122325869,0.61055389289,0.655715425991
ecoli-0_vs_1,0.980695185957,0.970814367809,0.977164369411,0.979940440554,0.980681391067,0.979232369839,0.97638997025,0.981340063556
page-blocks0,0.903165875649,0.93301983118,0.932097598277,0.924850896813,0.929071105255,0.934575641148,0.923885956465,0.937939564541
yeast3,0.813457119996,0.906249267011,0.870703193931,0.86818837263,0.896277752829,0.885670147096,0.869644816382,0.92520703167
yeast4,0.472828779384,0.673668962818,0.607441222,0.597711302126,0.55742911732,0.61619468627,0.635317407401,0.796553356404
yeast5,0.728142012746,0.915219693361,0.865631682681,0.865203856046,0.834175498059,0.870565803046,0.873111956096,0.931554591107
yeast6,0.622447503612,0.798012382093,0.75759872528,0.701287019264,0.652178088592,0.734949159583,0.729745626615,0.85495464565
segment0,0.980864189197,0.986425779242,0.985710188404,0.986052672954,0.982060058914,0.985666429569,0.985240945086,0.988115811831
page-blocks-1-3_vs_4,0.908017792862,0.990251304977,0.986635292307,0.959677718339,0.942622392149,0.990776642394,0.986635292307,0.996385144059
glass-0-1-2-3_vs_4-5-6,0.887969892532,0.884131876462,0.899588229669,0.902554284887,0.90204283111,0.908785832503,0.8963554848,0.904664390293
