Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.620816378059,0.578582094243,0.558325958812,0.551037982174,0.53034746306,0.565026262232,0.579440769799,0.489015543726
vowel0,0.917823032615,0.838577941562,0.826938938049,0.835253518592,0.92903493008,0.833331637619,0.85528207164,0.770641812325
yeast-1-2-8-9_vs_7,0.496190476191,0.188639691625,0.101382563274,0.123616161616,0.406764069264,0.126678492073,0.104276904154,0.139887577328
abalone19,0.025,0.0254334992989,0.0379154364732,0.0320879931656,0.0,0.0372232825819,0.0339236059268,0.0159854389875
vehicle0,0.904383458286,0.849113792453,0.869713726561,0.850118883339,0.817656627084,0.870035879489,0.875604015722,0.857131740842
vehicle1,0.58906318431,0.569133399323,0.555868152753,0.571562487699,0.529277193413,0.56728479406,0.591347793466,0.502349132091
yeast-0-5-6-7-9_vs_4,0.649600268788,0.474944542484,0.423395570476,0.449413059897,0.504512432012,0.450569651317,0.436511214631,0.402470397109
new-thyroid1,0.940555555556,0.878511904762,0.919774212715,0.920579710145,0.890861958818,0.911092995169,0.900413170608,0.853723707665
yeast-2_vs_8,0.834632034632,0.394340936841,0.426869029663,0.714652014652,0.777619047619,0.477920804686,0.445081292976,0.665338827839
yeast-1-4-5-8_vs_7,0.1,0.106340517035,0.0901448867037,0.0649322660099,0.0769444444445,0.0887330358019,0.0891268412714,0.0525527442012
yeast-2_vs_4,0.778615031271,0.672286624774,0.699273680863,0.699396893429,0.712409037858,0.713502413253,0.701320340812,0.562908814684
glass-0-1-6_vs_2,0.266666666667,0.316940624735,0.288187645688,0.363745421245,0.15,0.322442002442,0.274789377289,0.270611785875
wisconsin,0.950454469503,0.932677502541,0.94532752034,0.935896352378,0.928350708652,0.947174661486,0.953307793949,0.910841014444
glass2,0.23,0.295905760906,0.253996444732,0.257005012531,0.35,0.21795995671,0.213938806292,0.135287635936
glass0,0.740574809924,0.673444234153,0.684443373362,0.712608875479,0.626696173398,0.695605815453,0.711643197134,0.705116041629
glass1,0.69698295239,0.640971153498,0.712451056164,0.670059531478,0.606137722439,0.670840586227,0.750169071384,0.64606345946
glass6,0.879237861811,0.743318015318,0.827445144725,0.859288847118,0.848639391654,0.856649159664,0.853160019861,0.79495872033
poker-8-9_vs_6,0.466666666667,0.5625,0.723919413919,0.601346153846,0.366666666667,0.673174603175,0.56,0.669065934066
ecoli4,0.797942661913,0.740554723055,0.820077700078,0.778449050949,0.810555555556,0.802180874681,0.804830447331,0.614383579384
ecoli1,0.79865004221,0.714499720756,0.72868461827,0.703275180997,0.711364173667,0.740290829413,0.765395557903,0.695247009469
ecoli2,0.802004868533,0.679866111793,0.787068232102,0.789778013091,0.799815800142,0.783090206895,0.82762597596,0.713410905427
ecoli3,0.630851648352,0.505973643152,0.538485550965,0.547794694126,0.568264807372,0.506400691901,0.562324125432,0.460366601194
abalone9-18,0.49155982906,0.359911149617,0.287484507691,0.351432869933,0.59183006536,0.289095878281,0.263225524323,0.141810930748
ecoli-0_vs_1,0.982371794872,0.944559218906,0.964990619137,0.974608636977,0.97735904019,0.972548220928,0.964394771895,0.980054721701
page-blocks0,0.88502775933,0.814366340892,0.795136406542,0.797758884751,0.827733233362,0.807236236896,0.824443572761,0.773317463357
yeast3,0.772678948275,0.66626403444,0.714475563098,0.722397943596,0.72411922239,0.720697145342,0.729733988624,0.625132008572
yeast4,0.436862231336,0.276414410894,0.255765101904,0.295072476322,0.402301254301,0.260154318889,0.269603257258,0.168227883129
yeast5,0.687068579426,0.547274993853,0.670259955492,0.667705995293,0.682831992886,0.690318141036,0.672542641267,0.403401489499
yeast6,0.613087214718,0.354955668538,0.428502590405,0.523837991718,0.482198892389,0.409036314227,0.444899990217,0.218291965812
segment0,0.976204107296,0.959435920487,0.975155911642,0.976173922117,0.975641020754,0.971139647366,0.97699287922,0.967821087545
page-blocks-1-3_vs_4,0.927222222222,0.851167870657,0.940833333333,0.933095238095,0.978974358974,0.949166666667,0.940833333333,0.903684210526
glass-0-1-2-3_vs_4-5-6,0.871600263665,0.785570381232,0.85951645456,0.848515791555,0.822478129442,0.852737393929,0.856088458325,0.77253145512
