Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.395283018868,0.597169811321,0.515094339623,0.538679245283,0.644339622641,0.52358490566,0.408490566038,0.73679245283
vowel0,0.875555555556,0.955555555556,0.924444444444,0.92,0.882222222222,0.931111111111,0.926666666667,0.937777777778
yeast-1-2-8-9_vs_7,0.213333333333,0.273333333333,0.14,0.146666666667,0.22,0.186666666667,0.16,0.38
abalone19,0.00625,0.05625,0.175,0.05625,0.0,0.18125,0.15,0.13125
vehicle0,0.853545454546,0.950808080808,0.892484848485,0.889555555556,0.924717171717,0.892555555556,0.871424242424,0.923616161616
vehicle1,0.417499150527,0.629383282365,0.555750934421,0.576044852192,0.716055045872,0.543841318383,0.479255861366,0.742490655793
yeast-0-5-6-7-9_vs_4,0.379076923077,0.576,0.496923076923,0.458307692308,0.477538461538,0.498,0.490307692308,0.694
new-thyroid1,0.856535947712,0.954575163399,0.920261437908,0.920588235294,0.856862745098,0.897385620915,0.891176470588,0.925816993464
yeast-2_vs_8,0.55,0.42,0.48,0.5,0.55,0.57,0.5,0.52
yeast-1-4-5-8_vs_7,0.02,0.173333333333,0.12,0.0999999999999,0.04,0.133333333333,0.133333333333,0.24
yeast-2_vs_4,0.725384615385,0.804769230769,0.785076923077,0.764461538462,0.803846153846,0.797384615385,0.797230769231,0.875230769231
glass-0-1-6_vs_2,0.0486111111111,0.416666666667,0.327777777778,0.330555555555,0.025,0.316666666667,0.259722222222,0.480555555555
wisconsin,0.933893557423,0.953165266107,0.933893557423,0.932261904762,0.962331932773,0.930574229692,0.916365546218,0.968991596639
glass2,0.0611111111111,0.438888888889,0.3125,0.298611111111,0.168055555556,0.301388888889,0.261111111111,0.7625
glass0,0.668571428571,0.774285714286,0.717142857143,0.722857142857,0.837142857143,0.674285714286,0.562857142857,0.731428571429
glass1,0.602631578947,0.689473684211,0.65,0.673684210526,0.710526315789,0.621052631579,0.5,0.623684210526
glass6,0.821904761905,0.856666666667,0.862857142857,0.857142857143,0.841904761905,0.863333333333,0.863333333333,0.890952380952
poker-8-9_vs_6,0.0474358974359,0.247435897436,0.342307692308,0.278205128205,0.0391025641026,0.276282051282,0.270512820513,0.494871794872
ecoli4,0.74,0.8,0.75,0.66,0.7,0.74,0.76,0.82
ecoli1,0.701619433198,0.852091767881,0.774696356276,0.785087719298,0.841497975709,0.77975708502,0.745748987854,0.908636977058
ecoli2,0.707692307692,0.830769230769,0.796153846154,0.730769230769,0.761538461538,0.784615384615,0.788461538462,0.792307692308
ecoli3,0.452614379085,0.696732026144,0.595424836601,0.532026143791,0.65816993464,0.572222222222,0.648039215686,0.881045751634
abalone9-18,0.214285714286,0.452380952381,0.490476190476,0.447619047619,0.209523809524,0.471428571429,0.409523809524,0.642857142857
ecoli-0_vs_1,0.971390013495,0.974021592442,0.974021592442,0.974021592442,0.974021592442,0.974021592442,0.974021592442,0.974021592442
page-blocks0,0.826139272913,0.891593701997,0.892316948285,0.877987711213,0.881963645673,0.895527393753,0.872282386073,0.907707373272
yeast3,0.679840409515,0.868834688347,0.790304125264,0.784266787112,0.836886479976,0.817299006323,0.785426076483,0.921635049684
yeast4,0.236153846154,0.478769230769,0.397230769231,0.381076923077,0.325538461539,0.408615384615,0.428461538461,0.748615384615
yeast5,0.545454545455,0.859090909091,0.759090909091,0.759090909091,0.709090909091,0.768181818182,0.772727272727,0.918181818182
yeast6,0.409477124183,0.664052287582,0.589869281046,0.51045751634,0.447712418301,0.555555555556,0.550326797386,0.812091503268
segment0,0.965957132299,0.979918699187,0.975687361419,0.976300813008,0.968388765706,0.976289726534,0.974460458241,0.981751662971
page-blocks-1-3_vs_4,0.835714285714,0.992857142857,0.978571428571,0.928571428571,0.892857142857,0.985714285714,0.978571428571,1.0
glass-0-1-2-3_vs_4-5-6,0.825076923077,0.855538461538,0.852461538461,0.859538461538,0.875846153846,0.872153846154,0.843692307692,0.910769230769
