Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.667809951788,0.699061067794,0.684295577644,0.683817927504,0.707617106125,0.670613356348,0.651958216773,0.704356883519
vowel0,0.920876020787,0.956973521406,0.944536005939,0.927532788914,0.927431328879,0.942197475872,0.942313783717,0.944612719624
yeast-1-2-8-9_vs_7,0.599811675277,0.624542816641,0.591818553719,0.554980211396,0.628566515398,0.561116629087,0.561334494011,0.582796900419
abalone19,0.507647271849,0.518491972477,0.567868783197,0.529484548527,0.51014455577,0.567675639787,0.56803778368,0.52822458957
vehicle0,0.902961611297,0.913217882298,0.904675211002,0.909701313097,0.909412280702,0.9042114975,0.896628611537,0.908678501562
vehicle1,0.665767354222,0.69587993224,0.682946029922,0.692625981764,0.724499548133,0.703517483537,0.655962240717,0.703772002441
yeast-0-5-6-7-9_vs_4,0.697163507179,0.728657931534,0.703106979902,0.700771597342,0.711338344156,0.707272512867,0.710183051012,0.75996470426
new-thyroid1,0.91637254902,0.958235294118,0.934248366013,0.952516339869,0.924640522876,0.943137254902,0.932254901961,0.920980392157
yeast-2_vs_8,0.73461038961,0.688809523809,0.727510822511,0.756168831169,0.778095238095,0.692943722944,0.758354978355,0.771168831169
yeast-1-4-5-8_vs_7,0.532704564481,0.559308806222,0.519748783654,0.523798547665,0.549093807253,0.516696969145,0.528980696199,0.548859395285
yeast-2_vs_4,0.856606749572,0.870727370331,0.86762220251,0.856357467245,0.875756941335,0.867036388898,0.849836786776,0.881899637718
glass-0-1-6_vs_2,0.565793712992,0.684428335075,0.617230494601,0.625217694183,0.578716039707,0.600912138628,0.65204414838,0.568632445141
wisconsin,0.937691536074,0.936871451283,0.931068211068,0.931055435688,0.950678230752,0.937479086229,0.924530906957,0.948601427057
glass2,0.577329416615,0.617243867244,0.59716553288,0.616526231705,0.601035868893,0.607761286333,0.610791589363,0.622817460318
glass0,0.743194444444,0.750119047619,0.73625,0.761190476191,0.781468253968,0.753968253968,0.723412698413,0.773015873016
glass1,0.716380625477,0.700019069413,0.703470633104,0.722406559878,0.706292906178,0.719717772692,0.713215102975,0.710659801678
glass6,0.887904060643,0.897539237294,0.894167835437,0.896615240767,0.899019568557,0.901137213651,0.901562145195,0.877563614506
poker-8-9_vs_6,0.547528099754,0.64947312961,0.633521250439,0.654308043555,0.551100280998,0.628669652265,0.647374429224,0.716604320337
ecoli4,0.848607594937,0.900126582279,0.875189873418,0.813670886076,0.848291139241,0.865189873418,0.847088607595,0.876202531646
ecoli1,0.813078492295,0.836639205348,0.813681385934,0.822905407526,0.86333301949,0.843127294982,0.823381351411,0.8669624643
ecoli2,0.837757313109,0.857123510293,0.850081256771,0.852600216685,0.866901408451,0.857665222102,0.855444203684,0.865384615385
ecoli3,0.742724667792,0.76059005324,0.743955806605,0.735637839242,0.790675193698,0.735154352249,0.732077868675,0.864205038307
abalone9-18,0.64208062497,0.679894072897,0.683956377293,0.664273616929,0.653174984352,0.701436395589,0.6926046632,0.687161875872
ecoli-0_vs_1,0.971223144083,0.974393425329,0.973991140953,0.975821437849,0.97185427002,0.96971225124,0.963545131563,0.975831218757
page-blocks0,0.906632912618,0.912922473703,0.916751655051,0.906535784838,0.932848658318,0.917656639829,0.916694827988,0.925906970492
yeast3,0.818322787195,0.873271212964,0.854124879576,0.836188722541,0.893653144609,0.844995634549,0.84898832281,0.921531185086
yeast4,0.636838445835,0.686028171205,0.673245893666,0.66014825177,0.671823547657,0.68031748218,0.676863785385,0.810614930604
yeast5,0.790107323232,0.875580808081,0.838857323232,0.838857323232,0.855233585858,0.83452020202,0.843402777778,0.952373737374
yeast6,0.71478186757,0.80431590829,0.746711541072,0.741563981063,0.750680338739,0.762340966907,0.760831560198,0.841082079126
segment0,0.980962477496,0.985011354264,0.9854687688,0.986686484316,0.982429278108,0.984862759261,0.982223204946,0.987037610189
page-blocks-1-3_vs_4,0.96981981982,0.992117117117,0.987258687259,0.987258687259,0.961776061776,0.987483912484,0.987258687259,0.99481981982
glass-0-1-2-3_vs_4-5-6,0.87393743775,0.86546637945,0.870171866676,0.877091214417,0.895938989646,0.876479628472,0.892106409098,0.902498251222
