Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.747281323877,0.750827423168,0.747990543735,0.745862884161,0.726004728132,0.740189125295,0.748463356974,0.687706855792
vowel0,0.976113360324,0.972672064777,0.975506072874,0.97004048583,0.977125506073,0.971255060728,0.975101214575,0.95020242915
yeast-1-2-8-9_vs_7,0.949315349551,0.922277232139,0.9151015602,0.918691180275,0.942558942383,0.905598076734,0.906020463689,0.772745559808
abalone19,0.982894106373,0.973646382367,0.942405366555,0.977000479157,0.981696214662,0.942022041207,0.942740776234,0.906804024916
vehicle0,0.928626039524,0.928860770813,0.926010462309,0.930506125369,0.917270633998,0.925311857283,0.926956094071,0.919386568899
vehicle1,0.739956854154,0.740901368148,0.744928686399,0.74988598766,0.734511088259,0.758398909058,0.748715684521,0.695278547796
yeast-0-5-6-7-9_vs_4,0.8897955377,0.868168448239,0.859860822154,0.870853002368,0.865172537485,0.862937083005,0.872379654208,0.817176268025
new-thyroid1,0.948823122187,0.968388715818,0.962789892696,0.973961578401,0.95442194531,0.966502249913,0.963707165109,0.952578746971
yeast-2_vs_8,0.958921161826,0.926141078838,0.926970954357,0.945228215768,0.959751037344,0.92489626556,0.940248962656,0.946473029046
yeast-1-4-5-8_vs_7,0.909676667055,0.875331078943,0.872709100298,0.892637137479,0.898409988173,0.88513601306,0.878194599457,0.678722659959
yeast-2_vs_4,0.946690285853,0.939325944767,0.942820373062,0.939671148256,0.939698401163,0.942036094961,0.939689316861,0.916827156008
glass-0-1-6_vs_2,0.855246880087,0.861432447097,0.853011394466,0.857265328269,0.838752034726,0.842788931091,0.869831795985,0.745230602279
wisconsin,0.945831832759,0.943491794001,0.940545523143,0.940260842723,0.949924542539,0.945825830461,0.936756358148,0.945538577627
glass2,0.87106918239,0.818483577917,0.846680642907,0.853109713487,0.849668064291,0.856830887491,0.853127183787,0.523130677848
glass0,0.771962616822,0.764485981308,0.76261682243,0.780373831776,0.752336448598,0.777570093458,0.771028037383,0.778504672897
glass1,0.740186915888,0.708411214953,0.724299065421,0.732710280374,0.694392523365,0.734579439252,0.763551401869,0.73738317757
glass6,0.946767994409,0.927917540182,0.926170510133,0.944933612858,0.945859538784,0.943099231307,0.95429769392,0.918885394829
poker-8-9_vs_6,0.96821275299,0.972258781874,0.968214748252,0.969427142095,0.967811705296,0.966732994018,0.966999089435,0.953817480673
ecoli4,0.961904761905,0.961904761905,0.967857142857,0.966666666667,0.96130952381,0.966666666667,0.967857142857,0.934523809524
ecoli1,0.873284200829,0.872044077525,0.861456967721,0.870304361691,0.87384757113,0.878701768061,0.879250965524,0.861442794884
ecoli2,0.914285714286,0.877976190476,0.900595238095,0.915476190476,0.913095238095,0.916071428571,0.925595238095,0.889285714286
ecoli3,0.904836480885,0.883913829146,0.897700457074,0.896538284378,0.890557346845,0.882780002126,0.885738582008,0.876791978174
abalone9-18,0.919561344412,0.902333258477,0.86784489857,0.889755221199,0.915189011153,0.875510142975,0.888363649974,0.760085335729
ecoli-0_vs_1,0.972741548888,0.974493759815,0.9763286222,0.976361682784,0.972774609472,0.969972725019,0.962765517811,0.976378213075
page-blocks0,0.965826139056,0.960343815771,0.95840645391,0.955152581023,0.963376252973,0.958589536443,0.963705908403,0.945793957675
yeast3,0.927218865052,0.920751303665,0.930721098221,0.925468111733,0.935033774518,0.926819455721,0.931124503463,0.905256074237
yeast4,0.94434079297,0.920475222636,0.926821998572,0.931940395559,0.935851482937,0.926013735031,0.929782604352,0.831533539304
yeast5,0.977493261456,0.968059299191,0.978032345014,0.978032345014,0.975606469003,0.978167115903,0.978301886792,0.941778975741
yeast6,0.970482033845,0.954439364796,0.956857979922,0.967652384922,0.963338255568,0.959019403774,0.961044421801,0.89609999219
segment0,0.989948750296,0.989081447607,0.991595423946,0.992808145887,0.990729022351,0.990989513522,0.990381350364,0.989083399977
page-blocks-1-3_vs_4,0.987288135593,0.985169491525,0.994915254237,0.994915254237,0.984745762712,0.995338983051,0.994915254237,0.990254237288
glass-0-1-2-3_vs_4-5-6,0.913993710692,0.897204751922,0.908350803634,0.912980433264,0.912124388539,0.913958770091,0.925262054507,0.91035988819
