Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.501341694672,0.544987610664,0.525569600449,0.523643609178,0.551030110798,0.504500785438,0.476101775623,0.541571190306
vowel0,0.866488536173,0.863723217272,0.871020535481,0.841391292467,0.873072062937,0.852997043251,0.868799390461,0.792942595305
yeast-1-2-8-9_vs_7,0.21392093871,0.201327672284,0.15514853325,0.114258282112,0.241723239658,0.116540390515,0.112598360737,0.13532542424
abalone19,0.0226757317589,0.0300667565586,0.048677372939,0.040240395227,0.0270860378572,0.0468089988175,0.0464995840264,0.0198016795586
vehicle0,0.849112176057,0.85342825406,0.846039672482,0.854820207709,0.83629695319,0.8450921578,0.843351353759,0.839790725049
vehicle1,0.502663768031,0.544447612291,0.526652184949,0.541538435294,0.576272248148,0.55646952298,0.485979711591,0.546751075237
yeast-0-5-6-7-9_vs_4,0.444361504943,0.446896999666,0.408566915864,0.420468316854,0.427025943398,0.421074671174,0.437796246068,0.42909093127
new-thyroid1,0.848163085624,0.905733542971,0.889454075337,0.91937951263,0.863893419776,0.899507399508,0.888774060907,0.859802958027
yeast-2_vs_8,0.492915490307,0.325886624021,0.380953767743,0.448814289139,0.545767201682,0.347678760853,0.436954605383,0.510739226469
yeast-1-4-5-8_vs_7,0.0999304209408,0.130730432522,0.0881985088894,0.0887009028304,0.12759467304,0.0775465231852,0.0966245710656,0.115314585078
yeast-2_vs_4,0.734360652499,0.718944006747,0.727028831735,0.709989648185,0.724076791944,0.7247549386,0.706692096047,0.683454543157
glass-0-1-6_vs_2,0.20562448903,0.370101010101,0.287494224304,0.291101356332,0.217896138949,0.255995174416,0.343835633414,0.188506602019
wisconsin,0.921610723427,0.918535985476,0.913589170424,0.913296128106,0.93017127627,0.921442948097,0.906912727381,0.92501132135
glass2,0.207739580681,0.256357015944,0.227446974925,0.251291342181,0.246275736908,0.246870311777,0.251659182922,0.209505955457
glass0,0.652864491584,0.658658457899,0.642396009682,0.677029795965,0.697802193878,0.66516259411,0.623177439668,0.691124089303
glass1,0.63242021527,0.617437038948,0.618880080093,0.645237717911,0.634723091586,0.639440068556,0.614784537208,0.624123611872
glass6,0.806605283286,0.770260556011,0.760586890919,0.802710629872,0.805224846221,0.801856096146,0.833069992585,0.741746798871
poker-8-9_vs_6,0.115999155643,0.290296016102,0.248581389371,0.289416669877,0.121762643789,0.242100874277,0.271874676556,0.398149637358
ecoli4,0.698783917608,0.731268356806,0.741544232976,0.672786571649,0.693651983494,0.730158805822,0.725912013683,0.645810796506
ecoli1,0.716061200486,0.735024984601,0.704951236377,0.720339680337,0.753643622539,0.745623799298,0.732253597319,0.74516856724
ecoli2,0.723578029886,0.679805742111,0.707978322834,0.739492403348,0.741430296715,0.746944179855,0.759349521569,0.702544343997
ecoli3,0.533266670464,0.519800534631,0.522633607237,0.513363965778,0.557775883787,0.481971455682,0.489926329898,0.596050978957
abalone9-18,0.314993386761,0.330114923879,0.29267455149,0.301083828523,0.323631338877,0.3188305338,0.32774816794,0.237877249964
ecoli-0_vs_1,0.978880881939,0.980105070214,0.981705445782,0.981657780248,0.978860828281,0.976630988758,0.970639874717,0.981678687619
page-blocks0,0.832725965562,0.815088478228,0.809850260643,0.79429327337,0.833348553611,0.8107585119,0.828682304507,0.778723350225
yeast3,0.67169696319,0.692755339435,0.706674935431,0.680095661158,0.740887155609,0.688619633342,0.703540268304,0.691010839048
yeast4,0.274477162182,0.28044234421,0.274562842387,0.275541414138,0.290908854953,0.280145795492,0.286822859434,0.254308013273
yeast5,0.604571835334,0.594671817956,0.65106568463,0.649763948935,0.639674112229,0.64877438143,0.657087639255,0.504574806839
yeast6,0.4181324357,0.40534766972,0.378524417239,0.420757880722,0.413338493708,0.396061222986,0.39887958654,0.309820240979
segment0,0.964895360136,0.962409801655,0.970783925579,0.97485998477,0.967598346953,0.968754657604,0.966422599869,0.962835164575
page-blocks-1-3_vs_4,0.903224583633,0.893632065128,0.957718832891,0.957718832891,0.883142378832,0.961103448276,0.957718832891,0.925701284255
glass-0-1-2-3_vs_4-5-6,0.812845172385,0.787064851231,0.805410897256,0.815317904032,0.820327900104,0.817397601511,0.840736885613,0.824239309935
