Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.647262352523,0.690414962852,0.671855754716,0.670845510462,0.706178406199,0.654568334483,0.621019877273,0.699342174505
vowel0,0.917939329299,0.956577388322,0.943341478467,0.925447147179,0.924890695117,0.941244355747,0.940950612804,0.943447821046
yeast-1-2-8-9_vs_7,0.450402452275,0.524784748328,0.472513292177,0.39062611773,0.519616402433,0.399440895612,0.414645945992,0.511850398653
abalone19,0.0995523325288,0.162363909307,0.416111035554,0.190581852257,0.124388856789,0.410177870866,0.40543780589,0.251896902183
vehicle0,0.901376616713,0.91233954802,0.903402093326,0.908695811622,0.909062365431,0.903101703627,0.894353198973,0.907793806901
vehicle1,0.64691148238,0.68885256925,0.669717454294,0.682359263803,0.722931651515,0.694100513114,0.626301395416,0.696480150214
yeast-0-5-6-7-9_vs_4,0.651201557037,0.704617359255,0.669318664583,0.663972444887,0.682262738959,0.677117051576,0.679597209554,0.74369033168
new-thyroid1,0.914790241474,0.957281304985,0.932649916112,0.950995714169,0.923021666428,0.94175954466,0.930390704511,0.919276288359
yeast-2_vs_8,0.684445314341,0.623828218319,0.686909050932,0.715379482786,0.747722495967,0.625739135843,0.72136170986,0.741506047459
yeast-1-4-5-8_vs_7,0.320802374225,0.412689840486,0.340861876397,0.309098949351,0.385296385827,0.299525850504,0.357851430175,0.483204418203
yeast-2_vs_4,0.847783979382,0.86430554295,0.86025517125,0.847466504276,0.871119080235,0.859644936234,0.839699247793,0.877741574375
glass-0-1-6_vs_2,0.389249169069,0.609822876158,0.541441829838,0.531893932941,0.424689786716,0.519561477983,0.588234539103,0.434600133624
wisconsin,0.937164515919,0.936308447113,0.930425363689,0.930423804919,0.950568793264,0.936960952364,0.923300494008,0.948084292305
glass2,0.418297338028,0.562008960221,0.49511242625,0.520797922554,0.51413184277,0.506767370514,0.519855322651,0.567196043631
glass0,0.735303975389,0.742938831438,0.725736149373,0.756994747604,0.775330004352,0.746603054759,0.70662452835,0.771500254213
glass1,0.709576421023,0.694729478052,0.697896072519,0.718564118593,0.701348949536,0.714281457665,0.688659936984,0.702121297634
glass6,0.881129998556,0.895065162587,0.88852205367,0.891535821348,0.893007169619,0.895769589324,0.896277717587,0.871776995087
poker-8-9_vs_6,0.294381641084,0.451710851678,0.487557412691,0.543024871469,0.321801501691,0.493785917556,0.532892943353,0.597542922207
ecoli4,0.837860001027,0.896187327261,0.865742411031,0.777775964608,0.836301559566,0.853900512216,0.831717188799,0.871668364964
ecoli1,0.804081018393,0.833924034381,0.807452829209,0.816701462244,0.862163779569,0.839392365427,0.81572059249,0.864239544263
ecoli2,0.829099311976,0.85585734997,0.845539692919,0.847169953253,0.863546642458,0.852446068113,0.848271274317,0.86322590733
ecoli3,0.70468143836,0.740004426746,0.710429442758,0.698435022159,0.775039575377,0.700240787721,0.698326061053,0.858751709335
abalone9-18,0.553394002864,0.624565737365,0.644440812074,0.60575673621,0.577015592612,0.670048186378,0.653641837533,0.674669832345
ecoli-0_vs_1,0.971121789751,0.974307895927,0.973863628932,0.975778558975,0.971756995599,0.969600358285,0.963253871008,0.975793508455
page-blocks0,0.903398048503,0.910852385836,0.9151366855,0.904359243531,0.93195453806,0.916120394508,0.914727425701,0.925137595852
yeast3,0.805601231094,0.870762506901,0.848047600726,0.827567010922,0.891734514381,0.837378133598,0.84172412243,0.921092647983
yeast4,0.536623184978,0.635384180828,0.606506545474,0.585648677768,0.599524440648,0.621565588395,0.615208854821,0.807533313406
yeast5,0.760880220312,0.868432053752,0.824668254843,0.823511319221,0.843499970107,0.819225501665,0.830652379018,0.951776153718
yeast6,0.65374482127,0.785476256571,0.708740410072,0.697528433792,0.70857268916,0.730041215357,0.724963649783,0.833884629435
segment0,0.980843067917,0.984971466602,0.985420978542,0.986628161968,0.982326231542,0.984818065026,0.982146183175,0.986999212795
page-blocks-1-3_vs_4,0.968846642629,0.992071038315,0.986635292307,0.986635292307,0.960430605199,0.98683515846,0.986635292307,0.994802181163
glass-0-1-2-3_vs_4-5-6,0.867991569479,0.860624751963,0.865176311309,0.871849039029,0.890477837625,0.871630943676,0.888155331708,0.897834279898
