Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.496131901918,0.50493388553,0.498792846632,0.495027097122,0.468060613452,0.482128279578,0.499438153925,0.432329977598
vowel0,0.882057967978,0.804239400274,0.841220492901,0.813021807682,0.882258934177,0.80978678793,0.842571756245,0.711700434371
yeast-1-2-8-9_vs_7,0.217175586846,0.150888387703,0.114037654109,0.0881837333896,0.210967402163,0.084308091598,0.0802688948122,0.107099318258
abalone19,0.020974025974,0.0205880213515,0.028021750714,0.0282801836611,0.0241315111903,0.026851733932,0.0265866487065,0.0128523759627
vehicle0,0.844990152736,0.826659574874,0.830878036039,0.84051866333,0.786844215913,0.828566619348,0.849653789639,0.802340050814
vehicle1,0.495109351922,0.498158694961,0.502979500743,0.51275016424,0.489642503143,0.526903558817,0.510670193851,0.449486264987
yeast-0-5-6-7-9_vs_4,0.435178734571,0.374965259965,0.345801313587,0.373522648533,0.370921554014,0.359628011821,0.390190474545,0.3352902333
new-thyroid1,0.832291267384,0.874592854686,0.89568001443,0.925297619048,0.852121837571,0.898048340548,0.899378654971,0.852806637807
yeast-2_vs_8,0.537173659674,0.276288654328,0.319656772536,0.410200746965,0.549687812188,0.315294117647,0.40209018759,0.510362898196
yeast-1-4-5-8_vs_7,0.0902563591379,0.0954061395594,0.0672783997612,0.0724347207903,0.106165308713,0.0605562635282,0.0738795006819,0.0797950022218
yeast-2_vs_4,0.731621278213,0.67245325401,0.699314858001,0.681399742799,0.669195983648,0.694461792167,0.695277615511,0.603582300566
glass-0-1-6_vs_2,0.207272727273,0.316468253968,0.264952824953,0.265364504776,0.197032967033,0.223240811476,0.315353257853,0.154062800343
wisconsin,0.93376371337,0.923723889453,0.928646985141,0.927218127892,0.908831451897,0.933985386651,0.933106493515,0.895704925677
glass2,0.203751526251,0.198777580263,0.194579413105,0.214333415123,0.21413980464,0.21953160144,0.219934632361,0.134694202696
glass0,0.658146459326,0.628878043586,0.649101392474,0.657018904333,0.587428190569,0.658776057897,0.679970447561,0.640207578496
glass1,0.635891924632,0.58047176859,0.611137677095,0.615054512364,0.558137268115,0.621645862801,0.725619756588,0.636976243591
glass6,0.829458485959,0.722590482834,0.730815089399,0.796327841405,0.800073529412,0.794818860878,0.863576417189,0.703296200094
poker-8-9_vs_6,0.145526315789,0.285912698413,0.238778467909,0.279375954549,0.138638476807,0.232632283895,0.256688077832,0.372259754738
ecoli4,0.700641074612,0.67740995116,0.729749417249,0.78112026862,0.698851752823,0.739409340659,0.783143939394,0.58524368105
ecoli1,0.736125356911,0.703289840282,0.687608257636,0.709882037327,0.683753934039,0.719464767237,0.752204789397,0.657879371328
ecoli2,0.725917230917,0.581523744506,0.657556593733,0.725072965321,0.69609269106,0.737972537709,0.776059987354,0.617519267143
ecoli3,0.580094370542,0.464174231565,0.520527219907,0.533766968191,0.497219715957,0.451539124668,0.475635327635,0.482177463969
abalone9-18,0.317830338078,0.274036656732,0.213573380217,0.242576194895,0.301933250573,0.237428577191,0.253435874849,0.157510171186
ecoli-0_vs_1,0.95774460459,0.956062271062,0.967595921437,0.960090187946,0.955621473122,0.948444219481,0.934637008321,0.960045340838
page-blocks0,0.834881019004,0.781821871866,0.763336303852,0.750180919114,0.781300108803,0.763216876385,0.802535717202,0.695015579494
yeast3,0.669714552441,0.605549927077,0.66774085387,0.647642684695,0.665843462968,0.648250297408,0.673260443467,0.548803446529
yeast4,0.254034815759,0.210353103951,0.212718847842,0.227013142254,0.237384701082,0.214584076986,0.224396435239,0.154348422834
yeast5,0.62765508575,0.485114172614,0.621294792969,0.616023809524,0.576432995468,0.623104095879,0.621728579045,0.345544974324
yeast6,0.414673128804,0.306137155499,0.318495534394,0.36993319234,0.373324107192,0.324434267019,0.327497594998,0.203231251164
segment0,0.961740038544,0.946394349786,0.964932203945,0.971810215556,0.964646299214,0.961483437125,0.962162831573,0.943220882135
page-blocks-1-3_vs_4,0.870927024098,0.813369565217,0.940833333333,0.940833333333,0.846278600626,0.949166666667,0.940833333333,0.864076367389
glass-0-1-2-3_vs_4-5-6,0.842111529372,0.778293426655,0.826630734056,0.840582670432,0.802632518822,0.846004162644,0.864971580424,0.791236440879
