Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.508490566038,0.595283018868,0.556603773585,0.559433962264,0.670754716981,0.531132075472,0.458490566038,0.737735849056
vowel0,0.853333333333,0.937777777778,0.906666666667,0.875555555555,0.866666666667,0.906666666667,0.902222222222,0.937777777778
yeast-1-2-8-9_vs_7,0.226666666667,0.306666666667,0.246666666667,0.166666666667,0.293333333333,0.193333333333,0.193333333333,0.38
abalone19,0.025,0.05625,0.1875,0.075,0.03125,0.1875,0.1875,0.14375
vehicle0,0.854454545455,0.883626262626,0.864373737374,0.870404040404,0.894555555556,0.864363636364,0.839323232323,0.888454545455
vehicle1,0.513413183826,0.603499830106,0.555699966021,0.575067957866,0.703992524635,0.59081719334,0.465494393476,0.721330275229
yeast-0-5-6-7-9_vs_4,0.458461538462,0.555846153846,0.508923076923,0.49,0.520769230769,0.514307692308,0.509230769231,0.689230769231
new-thyroid1,0.868300653595,0.943137254902,0.891830065359,0.920588235294,0.880392156863,0.908496732026,0.885620915033,0.874183006536
yeast-2_vs_8,0.49,0.43,0.51,0.55,0.58,0.44,0.56,0.58
yeast-1-4-5-8_vs_7,0.12,0.213333333333,0.133333333333,0.12,0.166666666666,0.113333333333,0.146666666667,0.406666666667
yeast-2_vs_4,0.744307692308,0.785076923077,0.773692307692,0.752461538462,0.796,0.773384615385,0.737692307692,0.838461538461
glass-0-1-6_vs_2,0.213888888889,0.469444444445,0.330555555555,0.343055555555,0.2625,0.306944444444,0.3875,0.354166666667
wisconsin,0.910518207283,0.914733893558,0.899523809524,0.900399159664,0.953158263305,0.909642857143,0.883746498599,0.958914565826
glass2,0.227777777778,0.377777777778,0.3,0.334722222222,0.305555555555,0.311111111111,0.322222222222,0.741666666667
glass0,0.66,0.708571428571,0.66,0.705714285714,0.865714285714,0.685714285714,0.585714285714,0.757142857143
glass1,0.634210526316,0.671052631579,0.631578947368,0.686842105263,0.747368421053,0.668421052632,0.53947368421,0.618421052631
glass6,0.807142857143,0.855714285714,0.85,0.83,0.834761904762,0.843333333333,0.829047619048,0.820952380952
poker-8-9_vs_6,0.11217948718,0.315384615385,0.287179487179,0.328205128205,0.119871794872,0.278846153846,0.316666666667,0.471153846154
ecoli4,0.72,0.83,0.77,0.64,0.72,0.75,0.71,0.81
ecoli1,0.701821862348,0.771322537112,0.725371120108,0.735357624831,0.84399460189,0.777327935223,0.720107962213,0.877395411606
ecoli2,0.726923076923,0.826923076923,0.776923076923,0.761538461538,0.8,0.773076923077,0.753846153846,0.830769230769
ecoli3,0.537908496732,0.604901960784,0.549673202614,0.532352941177,0.664379084967,0.548692810458,0.537908496732,0.848039215686
abalone9-18,0.328571428571,0.428571428571,0.47619047619,0.409523809523,0.357142857142,0.504761904762,0.471428571429,0.604761904762
ecoli-0_vs_1,0.966194331984,0.974021592442,0.966194331984,0.974021592442,0.968825910931,0.968825910931,0.966194331984,0.974021592442
page-blocks0,0.832236303123,0.853323092678,0.864400921659,0.845435227855,0.894479006656,0.866210957501,0.857611367127,0.900910138249
yeast3,0.678741342969,0.812405901837,0.755947003914,0.721740439627,0.840605239386,0.740108401084,0.743706714845,0.942381812707
yeast4,0.306615384615,0.434307692308,0.400923076923,0.368307692308,0.388307692308,0.416461538461,0.405230769231,0.788153846154
yeast5,0.590909090909,0.777272727273,0.690909090909,0.690909090909,0.727272727273,0.681818181818,0.7,0.963636363636
yeast6,0.446405228758,0.646732026144,0.52614379085,0.504248366013,0.527450980392,0.555882352941,0.550653594771,0.783333333333
segment0,0.968392461197,0.979320029564,0.976899482631,0.978122690318,0.970820399113,0.976293422025,0.97081300813,0.984179600887
page-blocks-1-3_vs_4,0.95,1.0,0.978571428571,0.978571428571,0.935714285714,0.978571428571,0.978571428571,1.0
glass-0-1-2-3_vs_4-5-6,0.797076923077,0.804615384615,0.796923076923,0.808307692308,0.864461538461,0.804615384615,0.828461538462,0.887230769231
