Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.668431938575,0.679642580799,0.670716028808,0.678319742872,0.673559609547,0.670707100768,0.669964585441,0.667881376108
vowel0,0.923273942094,0.928980450384,0.899425884682,0.894305864885,0.922717149221,0.9029844098,0.904206879485,0.941284335561
yeast-1-2-8-9_vs_7,0.545297970717,0.527594638049,0.553017143781,0.565688082123,0.545297732873,0.55165734319,0.555862611906,0.633857541075
abalone19,0.534412723322,0.649215354901,0.633317238049,0.579214449541,0.530887856108,0.636418095123,0.63312409464,0.650650350072
vehicle0,0.724886727613,0.673096892558,0.750531348921,0.689531069206,0.730935905321,0.754985499995,0.748404130747,0.749029437825
vehicle1,0.681174699484,0.675403469685,0.676919779573,0.665083291671,0.670531863056,0.680057024472,0.676390209862,0.672524325546
yeast-0-5-6-7-9_vs_4,0.513337924935,0.515587307598,0.529517605948,0.53942261037,0.535132728212,0.527761768628,0.52898379912,0.757997468444
new-thyroid1,0.985555555555,0.937222222222,0.975555555555,0.967777777778,0.985,0.978333333333,0.977777777778,0.979836601307
yeast-2_vs_8,0.691233766234,0.671277056277,0.668073593074,0.665606060606,0.775757575757,0.670497835498,0.68961038961,0.759047619047
yeast-1-4-5-8_vs_7,0.541356998993,0.53513313071,0.54912614203,0.529187596307,0.541356998993,0.547327618632,0.549138942477,0.557622999551
yeast-2_vs_4,0.636415208355,0.609554523063,0.648322961521,0.637140764408,0.615739286576,0.655807586092,0.660291894887,0.838604438665
glass-0-1-6_vs_2,0.597132967607,0.607978491815,0.576782915361,0.579201497736,0.601967955416,0.580285614768,0.590116684082,0.597024120515
wisconsin,0.965919448861,0.964796067075,0.967179953062,0.964026042849,0.962640150655,0.966339616928,0.966820349761,0.960099647967
glass2,0.624881467738,0.641207998351,0.612132807669,0.606087662338,0.623361162647,0.612927746856,0.607056534735,0.618922644815
glass0,0.701111111111,0.700932539682,0.695396825397,0.679642857143,0.704166666667,0.679523809524,0.681170634921,0.703630952381
glass1,0.649637681159,0.583218916857,0.644164759725,0.641323417239,0.653394355454,0.642448512586,0.621300533944,0.621147978643
glass6,0.893433346691,0.903370900955,0.88697622387,0.884656715421,0.919845889268,0.884718159354,0.884102217324,0.895519268016
poker-8-9_vs_6,0.5,0.534837548296,0.4680628732,0.474135932561,0.5,0.455461011591,0.468963821567,0.578005795574
ecoli4,0.850379746835,0.76,0.877215189873,0.882278481013,0.803797468354,0.884810126582,0.878797468354,0.872215189874
ecoli1,0.74924881524,0.573194300599,0.783717164109,0.755789316763,0.714290556445,0.772594074632,0.81400244798,0.844181025013
ecoli2,0.667551462622,0.54650595883,0.742768147346,0.741711809317,0.666495124594,0.740845070423,0.820097508126,0.902789815818
ecoli3,0.806754101199,0.740172098862,0.846777691209,0.851612085011,0.720484092975,0.845564299009,0.846346491798,0.83086638099
abalone9-18,0.681782945737,0.687562111801,0.678354097453,0.658302036689,0.677919796331,0.670465477394,0.66761381145,0.707232473879
ecoli-0_vs_1,0.945905323982,0.950827536067,0.943200645619,0.952066939423,0.950372822857,0.939981459834,0.952869449038,0.926113360324
page-blocks0,0.714352980544,0.742209164007,0.756705213405,0.764954631076,0.7574342771,0.75701261867,0.755439481483,0.743832684867
yeast3,0.582709617732,0.514858347361,0.603548058638,0.592148423275,0.58437445063,0.607635786587,0.609278172796,0.899778985713
yeast4,0.554251597132,0.538398816812,0.57873859052,0.610689811976,0.56438706495,0.578178762559,0.582159599067,0.820253164747
yeast5,0.824185606061,0.590852272727,0.867335858586,0.854917929293,0.823282828283,0.865928030303,0.867108585859,0.953093434343
yeast6,0.65526148398,0.575307772909,0.722781244358,0.836496887051,0.653811969787,0.70960082904,0.72629257985,0.873844394886
segment0,0.888760682611,0.822481202441,0.883857291627,0.698869631106,0.888659570376,0.882895643655,0.883705265808,0.942023621004
page-blocks-1-3_vs_4,0.771042471043,0.77323037323,0.886647361647,0.885296010296,0.769465894466,0.884202059202,0.904954954955,0.823906048906
glass-0-1-2-3_vs_4-5-6,0.863239293077,0.873306557339,0.865248650777,0.898815185417,0.891236976814,0.866629536979,0.87033507053,0.877897667524
