Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.695508274232,0.666193853428,0.67304964539,0.644917257683,0.678723404255,0.670212765958,0.683687943262,0.670212765958
vowel0,0.942307692308,0.890890688259,0.886234817814,0.878744939271,0.941295546559,0.889068825911,0.88947368421,0.953238866397
yeast-1-2-8-9_vs_7,0.13813659111,0.08511966887,0.178063085967,0.17762508809,0.138136145083,0.169185823498,0.171085449728,0.634352949572
abalone19,0.90062290369,0.549976042166,0.567656923814,0.811068519406,0.8936272161,0.567656923814,0.567273598467,0.546669861045
vehicle0,0.653406956988,0.636863989985,0.659558034517,0.643952874899,0.654115621926,0.660507019583,0.66002414379,0.658846016275
vehicle1,0.695976035053,0.627162881159,0.668548242869,0.600172136278,0.661700795851,0.671866896182,0.678952427792,0.657916033265
yeast-0-5-6-7-9_vs_4,0.210129851496,0.185492503049,0.225996125977,0.234326709233,0.288445369108,0.222957170529,0.228263146567,0.819365808164
new-thyroid1,0.975848044306,0.894955001731,0.959094842506,0.946088611976,0.97492211838,0.963741779162,0.962815853236,0.97024056767
yeast-2_vs_8,0.63734439834,0.525726141079,0.592946058091,0.62489626556,0.936929460581,0.579253112033,0.588381742739,0.923236514523
yeast-1-4-5-8_vs_7,0.165051390115,0.110515400376,0.210365477836,0.251372624144,0.165051390115,0.200834568806,0.204300278189,0.421499725142
yeast-2_vs_4,0.429275678295,0.355720082364,0.459729287791,0.427401283915,0.579484617248,0.476398982558,0.478309714147,0.906589147287
glass-0-1-6_vs_2,0.47130765057,0.38618556701,0.46540423223,0.489158979924,0.461942485079,0.480759631036,0.507715680955,0.42579489962
wisconsin,0.96222496613,0.959004304505,0.963104731526,0.957249061069,0.953445319065,0.962518221262,0.963395414244,0.960175610091
glass2,0.50536338225,0.45606219427,0.52964709993,0.537106918239,0.502568134172,0.523060796646,0.529559748428,0.465269042628
glass0,0.639252336449,0.626168224299,0.635514018692,0.626168224299,0.636448598131,0.628971962617,0.642056074767,0.631775700935
glass1,0.591588785047,0.557009345794,0.582242990654,0.57476635514,0.597196261682,0.578504672897,0.579439252336,0.541121495327
glass6,0.940216631726,0.921575821104,0.943955276031,0.943990216632,0.935534591195,0.944881201957,0.948672257163,0.904786862334
poker-8-9_vs_6,0.983165428999,0.747458036009,0.628035247213,0.623853540502,0.983165428999,0.618739139425,0.622380492866,0.948821707001
ecoli4,0.815476190476,0.619047619047,0.857142857143,0.866666666667,0.807142857143,0.871428571429,0.860119047619,0.900595238095
ecoli1,0.638348155759,0.358576338447,0.694302519222,0.648485277965,0.659157424795,0.675654607944,0.734089218014,0.833975835311
ecoli2,0.461904761905,0.23869047619,0.597023809524,0.595238095238,0.460119047619,0.596428571429,0.735714285714,0.899404761905
ecoli3,0.737781242249,0.58730113737,0.800556283882,0.822719058924,0.733019168763,0.793990716791,0.791003791234,0.835772242497
abalone9-18,0.84267684707,0.731338423535,0.646544651546,0.693039898196,0.831179729022,0.635886668164,0.647371809267,0.74312897672
ecoli-0_vs_1,0.959996693942,0.956293908587,0.957277460947,0.961798495744,0.962715926936,0.955442598562,0.964484668154,0.948251921647
page-blocks0,0.900950519625,0.898319528114,0.900695967442,0.89959832721,0.90113469758,0.899526162901,0.899854803061,0.89948949296
yeast3,0.264734644355,0.141092118432,0.308548885414,0.283489809522,0.267697792986,0.314869506305,0.319721993668,0.867520883169
yeast4,0.222016372332,0.148142900994,0.244411992815,0.331788732625,0.227274444523,0.243328011508,0.251021772259,0.831969638352
yeast5,0.66307277628,0.210242587601,0.768194070081,0.778301886793,0.661320754717,0.761185983828,0.763477088949,0.917520215633
yeast6,0.337997649679,0.170674382405,0.496252200021,0.799908094078,0.335166547698,0.470515090916,0.503093742224,0.883140893957
segment0,0.82010520269,0.764831063703,0.812565075861,0.792562672944,0.819931742152,0.81178510417,0.811870933345,0.934058037944
page-blocks-1-3_vs_4,0.940677966102,0.93220338983,0.950423728814,0.947881355932,0.937711864407,0.952118644068,0.953389830509,0.939406779661
glass-0-1-2-3_vs_4-5-6,0.90178197065,0.888679245283,0.900838574423,0.911111111111,0.89891684137,0.902742837177,0.906498951782,0.897973445143
