Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.502453240363,0.514790176012,0.50416734686,0.511589462006,0.508055174624,0.504370209878,0.503034033003,0.501087989943
vowel0,0.741095778171,0.622323676405,0.595432732896,0.579771649523,0.737867446873,0.601767267361,0.603281193296,0.783317361822
yeast-1-2-8-9_vs_7,0.0672433035919,0.0648741403503,0.0684924011503,0.0702239040534,0.0672423594669,0.068217072242,0.0688068364104,0.135752184595
abalone19,0.0216291095601,0.0248268998694,0.0241522487583,0.025323571619,0.0197131113603,0.0243296796821,0.0241498315302,0.0249432241394
vehicle0,0.53756835721,0.48984452607,0.559484464657,0.505308857467,0.542969303812,0.563584350601,0.557753801745,0.558795245489
vehicle1,0.523251889062,0.515566441605,0.517243311567,0.506256665755,0.51043704781,0.520826070024,0.517132546793,0.512499763946
yeast-0-5-6-7-9_vs_4,0.198951801431,0.201317931181,0.202182551273,0.20320980546,0.225186104629,0.195422730422,0.199247012159,0.423408290669
new-thyroid1,0.932528190141,0.76319152497,0.889039559245,0.859703011025,0.930220497833,0.900818272885,0.898488806063,0.917639120824
yeast-2_vs_8,0.392786473657,0.252368008289,0.246827700024,0.282385538494,0.627745968617,0.249721485996,0.260559259357,0.538627271098
yeast-1-4-5-8_vs_7,0.0900951758579,0.0889408183977,0.0915128814778,0.0876241229353,0.0900951758579,0.0913320041628,0.0915786394012,0.0992212922449
yeast-2_vs_4,0.358080624455,0.333074342941,0.33418235901,0.301946562909,0.304978412895,0.333705397839,0.347194820651,0.637497109151
glass-0-1-6_vs_2,0.205873342442,0.202745183439,0.193169050354,0.197395515717,0.208146973817,0.197143978076,0.206587252009,0.199702416984
wisconsin,0.94772421887,0.943862044474,0.949001464108,0.941777239555,0.937290861249,0.948148496626,0.949250109905,0.943905832887
glass2,0.198438559188,0.200032708944,0.193262607762,0.188293778031,0.197462212957,0.194858980583,0.188310923972,0.1917681547
glass0,0.614640953864,0.61677793649,0.609030728836,0.593488590618,0.618547111958,0.592454425047,0.590388655483,0.618441993231
glass1,0.595043924606,0.478351568412,0.594403278062,0.593030216647,0.596995525785,0.59299440797,0.564019394956,0.583504303619
glass6,0.795137179168,0.758279485655,0.80366214097,0.79875075597,0.79745615628,0.802945919522,0.809323778074,0.723510076667
poker-8-9_vs_6,0.0,0.0399675907701,0.0261024828033,0.0277824945716,0.0,0.0242582962963,0.0265060625398,0.113877374742
ecoli4,0.441662858363,0.31445219198,0.510468520792,0.498547787456,0.359460278334,0.525349064567,0.507986892667,0.558618838994
ecoli1,0.561133771026,0.42550506603,0.601454153316,0.572445100791,0.502135685497,0.591883459867,0.640955188729,0.70385496899
ecoli2,0.377307831205,0.290008545583,0.457138899003,0.446171803267,0.37616166202,0.454929864386,0.554980997369,0.753460636098
ecoli3,0.45556798211,0.371393487092,0.497535049573,0.518086028147,0.329932564621,0.490322142038,0.492811005626,0.524364699546
abalone9-18,0.280095897406,0.216659591385,0.18791399257,0.188155270372,0.265701484469,0.182438465533,0.183612829711,0.231255350701
ecoli-0_vs_1,0.970178808262,0.966356985498,0.96815395833,0.971159277429,0.972110599788,0.96690179808,0.973382801214,0.962069353987
page-blocks0,0.496741488479,0.522153455986,0.540544082414,0.546503936837,0.542299715152,0.538013110494,0.537505369847,0.524227526672
yeast3,0.23104478122,0.20272696182,0.241157458565,0.234474179419,0.231925166041,0.243507626138,0.24408457306,0.612394780455
yeast4,0.0867782166498,0.0882991933874,0.0858465591926,0.0994023194603,0.0927182612913,0.0864483675692,0.0878310314883,0.263825261157
yeast5,0.153828579247,0.0699280414201,0.204499326711,0.209327831666,0.152806148751,0.200469201564,0.202616182947,0.420918414764
yeast6,0.0661767377006,0.0539499258324,0.087230350089,0.204207751445,0.0659021331795,0.082868163893,0.0924805827468,0.262517330189
segment0,0.612396363345,0.52099397748,0.601752686143,0.440182342329,0.612176290189,0.600431504232,0.601084648116,0.806461667817
page-blocks-1-3_vs_4,0.538471898472,0.511014984928,0.662405361467,0.650946334999,0.52792957043,0.666384538664,0.686465990445,0.580737740901
glass-0-1-2-3_vs_4-5-6,0.792052697418,0.783126794324,0.792196904108,0.823733085646,0.806132477805,0.795824733981,0.801980190203,0.797010251957
