Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.66556405818,0.678195729198,0.668750533767,0.67272353391,0.672528517363,0.669484673122,0.667512936721,0.666550642809
vowel0,0.922622994103,0.927326577236,0.898858023748,0.893184693824,0.922078870498,0.902511921943,0.903750896079,0.940253941238
yeast-1-2-8-9_vs_7,0.317603265425,0.223473413889,0.373897889097,0.37844356893,0.31765948718,0.362112737136,0.365512257677,0.58851831334
abalone19,0.336971910953,0.635844545745,0.626596735698,0.44201878109,0.335284483174,0.628546857872,0.626918134075,0.638030683852
vehicle0,0.711127182988,0.669290221743,0.729655616354,0.683171410261,0.715598923194,0.733068296947,0.728431850433,0.729059049101
vehicle1,0.680258638616,0.666975615887,0.675923076344,0.649946102657,0.66968697355,0.679200166994,0.675776124994,0.671168659736
yeast-0-5-6-7-9_vs_4,0.229565091291,0.171555450292,0.299082296658,0.325006826307,0.289555020207,0.289814456598,0.306536335515,0.750661211299
new-thyroid1,0.985420071262,0.934732178167,0.975235286653,0.96719055354,0.984853385228,0.978068830447,0.977502087601,0.979607387657
yeast-2_vs_8,0.620474438378,0.543745979007,0.609625342086,0.626112888639,0.739348544661,0.613316062823,0.628561683738,0.728203790045
yeast-1-4-5-8_vs_7,0.327449185754,0.249204567983,0.384951675192,0.405346931518,0.327449185754,0.371327825414,0.378841669255,0.48367456542
yeast-2_vs_4,0.465813535966,0.331115680416,0.530886255211,0.511032126339,0.433958811047,0.548354122965,0.552591951428,0.830612100311
glass-0-1-6_vs_2,0.566950944644,0.539440329876,0.555403018119,0.559430403886,0.568875469956,0.562366908862,0.572450138895,0.552208373068
wisconsin,0.965793480394,0.96456157472,0.967033962449,0.963723740751,0.962127870429,0.966204735907,0.966710824202,0.959863155364
glass2,0.603875936096,0.597555566688,0.598220949538,0.587527965078,0.602138143231,0.600187441822,0.58622056482,0.586100389282
glass0,0.676049241323,0.665365249063,0.671935147668,0.660506678892,0.674671373436,0.661407788266,0.668120676887,0.668705307772
glass1,0.607535117526,0.502058121918,0.604156331618,0.59564345962,0.61037246371,0.600210428423,0.598679427138,0.522468460385
glass6,0.88728798941,0.900299893732,0.87953149966,0.875719994388,0.916829861621,0.876951916118,0.874982779582,0.893199427716
poker-8-9_vs_6,0.0,0.476661138162,0.42631408268,0.44198213455,0.0,0.412699508134,0.4330305462,0.417750731493
ecoli4,0.844066257671,0.724910462487,0.873628626758,0.879483861968,0.749402663347,0.882030106959,0.875480114394,0.867359287415
ecoli1,0.691982873166,0.326668191004,0.749141408891,0.697208867057,0.634086830488,0.726890436903,0.791494182109,0.840593379107
ecoli2,0.561315896411,0.281563080566,0.690514227339,0.690112417282,0.560364313586,0.691357601959,0.801341376926,0.901454213828
ecoli3,0.791634457603,0.667555350217,0.842014035478,0.848716008474,0.609688246961,0.840782139338,0.841201738613,0.825368311872
abalone9-18,0.656294467419,0.682043934817,0.673942624593,0.654145237689,0.654383418183,0.66511686509,0.664359453016,0.70239057658
ecoli-0_vs_1,0.944015336049,0.949811331384,0.94111832443,0.950682669472,0.948803675841,0.937591056356,0.951501719966,0.922271743437
page-blocks0,0.673815374558,0.71480712918,0.733023971347,0.744654044935,0.734215166146,0.733607349351,0.731639050265,0.715218137535
yeast3,0.392192660412,0.184659548403,0.453135751067,0.426058976508,0.395436185504,0.460883835411,0.468046307677,0.89864796631
yeast4,0.354151243372,0.248162885179,0.4242768613,0.497922740229,0.37151984664,0.422077701015,0.430188172294,0.817932031694
yeast5,0.804868908685,0.422367393114,0.860414275423,0.847357469473,0.803803808374,0.857977738793,0.859381962702,0.952265376313
yeast6,0.561645134117,0.382025225307,0.674933273138,0.831883191599,0.559148385996,0.655951044377,0.677527983121,0.873085948875
segment0,0.88335382188,0.81463483802,0.878038293173,0.686254615141,0.883239861928,0.877088995838,0.877797744107,0.941764973282
page-blocks-1-3_vs_4,0.744155273644,0.749658010377,0.88032557875,0.879766864808,0.743065680494,0.87783827295,0.901174772718,0.810973293007
glass-0-1-2-3_vs_4-5-6,0.857661803673,0.871093628326,0.860148988758,0.896670289765,0.887582958815,0.861669715165,0.864791572354,0.875508738797
