Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.425675378392,0.40557540985,0.407127745348,0.390828393536,0.412363651422,0.404571833143,0.414762092997,0.403438483285
vowel0,0.6318651583,0.458987536173,0.442128171863,0.4262689112,0.62731252063,0.447609565761,0.448644140569,0.683036745782
yeast-1-2-8-9_vs_7,0.0348222324371,0.033526575236,0.0355279442333,0.0364218645261,0.034821709395,0.0353713565812,0.035679133624,0.0826679900724
abalone19,0.0116522158935,0.0126246098413,0.0122888833697,0.0135570053419,0.0105283934412,0.0123789330685,0.0122878284791,0.0126825150365
vehicle0,0.391277918872,0.365837464117,0.4017670683,0.375024295904,0.39359713659,0.403809223734,0.401372682476,0.401478612621
vehicle1,0.437701722372,0.38711088836,0.412714924272,0.371583753282,0.405933464677,0.416172116026,0.421192537711,0.403839427519
yeast-0-5-6-7-9_vs_4,0.136526886613,0.125349839466,0.119694656465,0.118536199212,0.160597286565,0.113491212021,0.117110225508,0.312687293903
new-thyroid1,0.875425751467,0.622352162349,0.800778279691,0.755489474294,0.871529647571,0.820670748016,0.8166873706,0.855416794136
yeast-2_vs_8,0.441388085418,0.195350605161,0.213624465166,0.297314665187,0.825326086957,0.206787161304,0.21789975539,0.619109202224
yeast-1-4-5-8_vs_7,0.0473060763857,0.0465464301537,0.0481857928774,0.0463122287605,0.0473060763857,0.0480749453167,0.048203594185,0.05480251344
yeast-2_vs_4,0.293728574275,0.250414993674,0.239263861739,0.201101469501,0.334609228974,0.237599700631,0.251479498628,0.589635565712
glass-0-1-6_vs_2,0.120347384172,0.114752556423,0.1120632494,0.116283063757,0.121111064841,0.115290491898,0.12289199917,0.114240062703
wisconsin,0.919321872772,0.907030218216,0.919510541018,0.901086220202,0.887404569423,0.919393429123,0.922161328735,0.929751056987
glass2,0.114441763767,0.113291449899,0.112348720764,0.109641532873,0.113754627618,0.113134036337,0.109427554494,0.109143042858
glass0,0.473227176856,0.465248953329,0.469734940778,0.461279755268,0.472057751614,0.463214595482,0.472328912801,0.469575579439
glass1,0.463162787461,0.419277729642,0.455914742793,0.450500714516,0.470248300873,0.452645997638,0.448970483264,0.434202385806
glass6,0.805219274332,0.689818096904,0.845088124436,0.848752136752,0.747947576451,0.849254791103,0.869120718463,0.635156630921
poker-8-9_vs_6,0.0,0.0214307107775,0.0136451653383,0.0145313612964,0.0,0.0126676905154,0.0138558691686,0.0847368709721
ecoli4,0.328546876499,0.212734938392,0.40168676356,0.369226625365,0.25238739912,0.412912429243,0.397783025798,0.459954938326
ecoli1,0.406290810529,0.282928925627,0.447717900047,0.42018140221,0.410844706258,0.439637693293,0.489041982383,0.601361420868
ecoli2,0.240012852135,0.170321886094,0.312715957918,0.298254217859,0.239065067877,0.312305003873,0.404393934316,0.661900045178
ecoli3,0.319078637521,0.240070045936,0.348961101433,0.370041178218,0.224033226084,0.340657790658,0.343025489808,0.398882812759
abalone9-18,0.201393385525,0.131283329622,0.108347290726,0.11125251329,0.186480179765,0.104907826421,0.106093086385,0.140787787253
ecoli-0_vs_1,0.986830859199,0.947777057505,0.981886446886,0.972771351455,0.984266756635,0.984187391556,0.984187391556,1.0
page-blocks0,0.519039653768,0.502534830649,0.511411000449,0.507466673167,0.513699033529,0.50570770986,0.507544702644,0.505555567448
yeast3,0.131012720654,0.112880096727,0.137790809666,0.133201075683,0.131592640794,0.139353145547,0.139743902902,0.455557827528
yeast4,0.0488337936491,0.0482874612893,0.045555280949,0.0537526072764,0.0521405015932,0.0459669618635,0.0468055318713,0.159138483326
yeast5,0.0836235962052,0.0362456672921,0.114642369735,0.118999203142,0.082996547325,0.112033728449,0.113451398479,0.268136026573
yeast6,0.0342441303717,0.0277244133072,0.0458746442236,0.119944790255,0.0340968595099,0.0434739687307,0.049034475646,0.155580799014
segment0,0.445504357548,0.36841134959,0.434404874756,0.361287189036,0.445274953683,0.433259489546,0.433607420844,0.701494781208
page-blocks-1-3_vs_4,0.516690765375,0.455262032086,0.564013855958,0.549332551979,0.497070802005,0.570988000304,0.57945563002,0.506922580376
glass-0-1-2-3_vs_4-5-6,0.813131638703,0.739055273574,0.805488046676,0.787518623386,0.770065677084,0.811017652602,0.823107530252,0.768074476816
