Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.614150943396,0.706603773585,0.666037735849,0.745283018868,0.66320754717,0.671698113208,0.642452830189,0.66320754717
vowel0,0.9,0.975555555556,0.915555555555,0.913333333333,0.9,0.92,0.922222222222,0.926666666667
yeast-1-2-8-9_vs_7,0.98,1.0,0.953333333333,0.98,0.98,0.96,0.966666666667,0.633333333333
abalone19,0.1625,0.75,0.7,0.34375,0.1625,0.70625,0.7,0.75625
vehicle0,0.85995959596,0.741555555556,0.922383838384,0.775656565657,0.876080808081,0.933454545455,0.915353535354,0.919383838384
vehicle1,0.65075603126,0.774379884472,0.694079170914,0.79828406388,0.688617057424,0.696848453959,0.671083927965,0.702463472647
yeast-0-5-6-7-9_vs_4,0.889384615384,0.924923076923,0.905846153846,0.917692307692,0.841384615384,0.905692307692,0.901846153846,0.682
new-thyroid1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994117647059
yeast-2_vs_8,0.75,0.83,0.75,0.71,0.6,0.77,0.8,0.58
yeast-1-4-5-8_vs_7,0.953333333333,1.0,0.92,0.833333333333,0.953333333333,0.926666666667,0.926666666667,0.706666666667
yeast-2_vs_4,0.894615384615,0.926,0.883384615385,0.898615384615,0.660615384615,0.879384615384,0.887076923077,0.753692307692
glass-0-1-6_vs_2,0.75,0.877777777778,0.7125,0.688888888889,0.772222222222,0.701388888889,0.690277777778,0.805555555556
wisconsin,0.978235294118,0.984096638655,0.980756302521,0.986610644258,0.993298319328,0.979075630252,0.978235294118,0.959838935574
glass2,0.766666666667,0.861111111111,0.709722222222,0.6875,0.766666666667,0.719444444445,0.698611111111,0.801388888889
glass0,0.88,0.917142857143,0.868571428571,0.834285714286,0.9,0.825714285714,0.794285714286,0.911428571429
glass1,0.85,0.673684210526,0.857894736842,0.871052631579,0.847368421053,0.863157894737,0.765789473684,0.897368421053
glass6,0.829047619048,0.878095238095,0.808571428571,0.802857142857,0.898095238095,0.801904761905,0.795238095238,0.882857142857
poker-8-9_vs_6,0.0,0.314743589743,0.302564102564,0.319230769231,0.0,0.286538461538,0.310256410256,0.194230769231
ecoli4,0.89,0.92,0.9,0.9,0.8,0.9,0.9,0.84
ecoli1,0.953643724696,0.969095816464,0.948448043185,0.953576248313,0.815182186235,0.951079622132,0.961201079622,0.862887989204
ecoli2,0.965384615385,0.992307692308,0.953846153846,0.953846153846,0.965384615385,0.95,0.942307692307,0.907692307692
ecoli3,0.893464052288,0.932679738562,0.904901960784,0.887908496732,0.704901960784,0.91045751634,0.916013071895,0.824509803922
abalone9-18,0.5,0.638095238095,0.714285714286,0.619047619048,0.504761904762,0.709523809524,0.690476190476,0.666666666667
ecoli-0_vs_1,0.898852901484,0.932523616734,0.896221322537,0.919568151147,0.909176788124,0.888394062078,0.914170040486,0.852226720648
page-blocks0,0.479836149514,0.546009984639,0.575734767025,0.595734767025,0.576826676907,0.577896825397,0.57393625192,0.548198924731
yeast3,0.990153568202,0.9938422162,0.981556760012,0.987669376694,0.990153568202,0.982776272207,0.980307136405,0.941117133394
yeast4,0.910923076923,0.957384615385,0.937692307692,0.910153846154,0.926307692308,0.937692307692,0.937692307692,0.807692307692
yeast5,0.995454545455,0.995454545455,0.972727272727,0.936363636364,0.995454545455,0.977272727273,0.977272727273,0.990909090909
yeast6,0.988235294118,1.0,0.96045751634,0.874836601307,0.988235294118,0.96045751634,0.96045751634,0.864052287581
segment0,0.984796747968,0.903159645233,0.983580931264,0.567815964523,0.984796747968,0.98236511456,0.98418699187,0.953170731707
page-blocks-1-3_vs_4,0.578571428572,0.592857142857,0.814285714286,0.814285714286,0.578571428572,0.807142857143,0.85,0.692857142857
glass-0-1-2-3_vs_4-5-6,0.789230769231,0.843692307692,0.796923076923,0.875076923077,0.876,0.797230769231,0.800923076923,0.839384615385
