Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.590804118802,0.765174691983,0.759986012737,0.758099220284,0.691719242902,0.754795845485,0.742298077495,0.759968156657
vowel0,0.840212818609,0.959821826281,0.948381588716,0.956379609008,0.844657263054,0.948827023014,0.949381341252,0.935122494432
yeast-1-2-8-9_vs_7,0.5,0.727588263835,0.708582831483,0.66970830836,0.5,0.713877186974,0.697584220491,0.675165349012
abalone19,0.5,0.768052873008,0.763141296475,0.600772573636,0.5,0.763841441333,0.763938013037,0.775215777402
vehicle0,0.946852487726,0.965271837745,0.965234110976,0.96427374884,0.960063205151,0.963729538245,0.964856923205,0.964577984871
vehicle1,0.659324759141,0.784413306107,0.773283487259,0.782970580397,0.737163039671,0.770901787434,0.754154956457,0.778361156483
yeast-0-5-6-7-9_vs_4,0.577046049446,0.772462233558,0.779286801557,0.790707204929,0.672054812527,0.780945314592,0.787300146322,0.793990996206
new-thyroid1,0.834640522876,0.97522875817,0.980784313725,0.977614379085,0.843137254902,0.98022875817,0.98022875817,0.974673202614
yeast-2_vs_8,0.763917748917,0.73606060606,0.774069264069,0.775692640692,0.773917748917,0.779069264069,0.778398268398,0.764393939394
yeast-1-4-5-8_vs_7,0.5,0.634221387059,0.646959135636,0.609863259685,0.5,0.654974793434,0.658716527742,0.627835238234
yeast-2_vs_4,0.793165905933,0.887419388083,0.876010434967,0.867982399784,0.81597583451,0.88693098281,0.883576601559,0.881741861586
glass-0-1-6_vs_2,0.5,0.730407523511,0.689646464647,0.664861981888,0.5,0.664968652038,0.673693834901,0.651484674329
wisconsin,0.963159966689,0.972787304111,0.968533575592,0.967618385192,0.975227496404,0.968116908926,0.963587137558,0.97446371792
glass2,0.5,0.720779220779,0.681873582766,0.678491548134,0.5,0.666506905793,0.673629148629,0.674337765409
glass0,0.650674603175,0.746567460317,0.73621031746,0.735456349206,0.771031746032,0.727321428571,0.715932539683,0.736408730159
glass1,0.516914569031,0.568649885584,0.631578947368,0.586250953471,0.598836765828,0.631140350877,0.585869565217,0.622406559878
glass6,0.904244473385,0.899178688306,0.916315701596,0.89746410205,0.903802678154,0.915772223335,0.915993454885,0.903079543178
poker-8-9_vs_6,0.5,0.496563048823,0.484422198806,0.497903055848,0.5,0.484512644889,0.486282051282,0.489842817
ecoli4,0.779367088608,0.918417721519,0.91917721519,0.918481012658,0.811835443038,0.917911392405,0.925443037975,0.927151898734
ecoli1,0.828642155478,0.890812855036,0.868267269246,0.884566738851,0.848807080313,0.864930954398,0.853885698145,0.884185575746
ecoli2,0.790438786566,0.857177681474,0.899620801734,0.860536294691,0.803331527627,0.902789815818,0.893905742145,0.898726977248
ecoli3,0.678406094447,0.86921525343,0.87859788772,0.88272895295,0.810663809895,0.873872310955,0.875872310955,0.870822404017
abalone9-18,0.552380952381,0.830562557177,0.82496154124,0.805680641822,0.559523809524,0.827197987385,0.817266840002,0.819989708219
ecoli-0_vs_1,0.969898682468,0.967831703446,0.975564124739,0.976506101386,0.969782063953,0.976151731577,0.973286915601,0.970280296262
page-blocks0,0.753279907153,0.886549681687,0.877787598154,0.88368859028,0.784753585085,0.878782594994,0.877407088055,0.878502190605
yeast3,0.78502231572,0.91104962198,0.892527039083,0.907408658288,0.842561721976,0.893697531196,0.896064194189,0.903472987069
yeast4,0.503016424437,0.798722199347,0.788418475971,0.800662026756,0.535975149524,0.799374370602,0.78837261449,0.825191637014
yeast5,0.620713383838,0.954349747475,0.961066919192,0.956710858586,0.72523989899,0.960997474747,0.961275252525,0.959053030303
yeast6,0.50527959823,0.866863136707,0.869265192748,0.867642613532,0.538903382779,0.869126404407,0.871542674173,0.863011514176
segment0,0.989871120512,0.973462332392,0.991947319753,0.973250195984,0.990477181118,0.991896814703,0.991947319753,0.991795855669
page-blocks-1-3_vs_4,0.714478764479,0.859813384813,0.867824967825,0.914864864865,0.713127413127,0.88120978121,0.876737451737,0.828925353925
glass-0-1-2-3_vs_4-5-6,0.869335487458,0.909496444537,0.900796747968,0.910562110578,0.881689505015,0.89380047715,0.89171602622,0.905008106919
