Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.770685579196,0.758156028369,0.755555555556,0.754609929078,0.762411347518,0.752482269504,0.771867612293,0.74988179669
vowel0,0.963967611336,0.943319838057,0.944331983806,0.944331983806,0.964777327935,0.945141700405,0.944331983806,0.914777327935
yeast-1-2-8-9_vs_7,0.968320978404,0.7596716354,0.747841678486,0.809928992605,0.968320978404,0.751850117305,0.757762642617,0.6581448872
abalone19,0.992333493052,0.810445615716,0.806851940585,0.896933397221,0.992333493052,0.808241494969,0.808433157643,0.744657402971
vehicle0,0.961231333274,0.952718411875,0.957447688456,0.952251184834,0.954846642225,0.956740141286,0.957921622105,0.954842171153
vehicle1,0.79907001699,0.771398551372,0.763364034695,0.763833497273,0.771641107037,0.7638290262,0.777547393365,0.761933291603
yeast-0-5-6-7-9_vs_4,0.914003874023,0.791355190473,0.816341200947,0.827670564603,0.921210990745,0.815969581749,0.827298945405,0.767060764761
new-thyroid1,0.94607130495,0.973987538941,0.98327275874,0.973987538941,0.948857736241,0.982346832814,0.982346832814,0.976773970232
yeast-2_vs_8,0.978423236514,0.805809128631,0.915352697095,0.964315352697,0.979253112033,0.915767634855,0.923651452282,0.869294605809
yeast-1-4-5-8_vs_7,0.956709866569,0.659400976162,0.659410970998,0.716304076227,0.956709866569,0.668659525912,0.687995369059,0.543657443654
yeast-2_vs_4,0.955244670543,0.884817102713,0.924909156977,0.907346172481,0.955256782946,0.925308866279,0.925687378876,0.890655281008
glass-0-1-6_vs_2,0.911502984265,0.754758545849,0.681595225176,0.690960390667,0.911502984265,0.689886055344,0.688876831253,0.561345632122
wisconsin,0.96690847353,0.970130850097,0.970127420212,0.965152372623,0.973059114061,0.969835880023,0.967201728662,0.969545197304
glass2,0.920597484277,0.73357791754,0.65141509434,0.653162124388,0.920597484277,0.652236198463,0.66537386443,0.556621243885
glass0,0.720560747664,0.692523364486,0.694392523365,0.677570093458,0.721495327103,0.696261682243,0.722429906542,0.689719626168
glass1,0.630841121495,0.56261682243,0.593457943925,0.561682242991,0.608411214953,0.602803738318,0.654205607477,0.57476635514
glass6,0.958909853249,0.944933612858,0.949580712788,0.94680293501,0.953319357093,0.948637316562,0.954262753319,0.915740740741
poker-8-9_vs_6,0.983165428999,0.614688575854,0.619260991173,0.622225225193,0.983165428999,0.620067621249,0.615490308467,0.60701262094
ecoli4,0.972619047619,0.943452380952,0.9625,0.952380952381,0.972023809524,0.960119047619,0.965476190476,0.942261904762
ecoli1,0.890479396237,0.868444176735,0.870226411083,0.867260744782,0.862512844134,0.867852460759,0.869050065549,0.844070439004
ecoli2,0.91130952381,0.819642857143,0.894047619048,0.8625,0.906547619048,0.899404761905,0.902976190476,0.889880952381
ecoli3,0.912578393509,0.851341104773,0.876905360876,0.866197781951,0.915508627715,0.877489990433,0.881082804805,0.853580413138
abalone9-18,0.948565012351,0.903971105622,0.889200538963,0.903429148888,0.9493861816,0.889200538963,0.895767647279,0.871398308257
ecoli-0_vs_1,0.977246053393,0.963616827837,0.979080915778,0.977246053393,0.9763286222,0.979080915778,0.975411191008,0.969939664435
page-blocks0,0.943788011668,0.8753988641,0.908038892848,0.878798615225,0.943934157082,0.909830376471,0.914472523927,0.909610891173
yeast3,0.940837833273,0.881797905054,0.911992451363,0.893531893716,0.94649640459,0.911184187822,0.914421601161,0.879769617646
yeast4,0.964153784399,0.841373466797,0.86158768388,0.888813632591,0.965770674746,0.864553738628,0.865227049402,0.801086160894
yeast5,0.97371967655,0.937061994609,0.945822102426,0.941644204852,0.975606469003,0.945687331536,0.946226415094,0.941913746631
yeast6,0.976146417395,0.864531216228,0.907529928455,0.930174021865,0.976416686192,0.90725748007,0.911977557519,0.872871769443
segment0,0.996534093256,0.956670158405,0.99705387414,0.959788993891,0.996707253429,0.996967294053,0.99705387414,0.996794284062
page-blocks-1-3_vs_4,0.960169491525,0.937711864407,0.933898305085,0.927966101695,0.957627118644,0.933898305085,0.931779661017,0.829237288136
glass-0-1-2-3_vs_4-5-6,0.921540880503,0.925192173305,0.926170510133,0.927009084556,0.909241788959,0.921523410203,0.920545073375,0.906271837875
