Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.332238653983,0.616939403409,0.61125223203,0.608855432495,0.537101555188,0.605877180884,0.59862701635,0.609746448435
vowel0,0.77552314928,0.760490097568,0.757834552489,0.761659337053,0.781859674201,0.760527681111,0.758389748218,0.677448420755
yeast-1-2-8-9_vs_7,0.0,0.155006483394,0.143636035426,0.148268058951,0.0,0.147926634991,0.143599583642,0.120841007233
abalone19,0.0,0.0553389078767,0.0539883847612,0.0353679843086,0.0,0.0543129360142,0.0544408321768,0.0477581184553
vehicle0,0.917636676642,0.907940954451,0.915690618063,0.906948695811,0.910105449567,0.914178590968,0.916427277384,0.911283781495
vehicle1,0.487175536775,0.645654996501,0.632004989379,0.640641117301,0.599324086879,0.630057541333,0.618673371958,0.636205060022
yeast-0-5-6-7-9_vs_4,0.253824334331,0.412423932461,0.43830752918,0.458299937247,0.463925535846,0.4386254891,0.454465632201,0.407831867132
new-thyroid1,0.795796518296,0.925896377594,0.950790305837,0.92649243788,0.807725645899,0.948077463124,0.948077463124,0.933388141066
yeast-2_vs_8,0.662374176391,0.222920462229,0.410408959739,0.59963463348,0.678060450901,0.424160664401,0.426971173085,0.354910224509
yeast-1-4-5-8_vs_7,0.0,0.131885985379,0.137707324656,0.13139740265,0.0,0.142523448551,0.148696677247,0.12222751938
yeast-2_vs_4,0.719945304273,0.608877895585,0.684625070999,0.640419167419,0.739383239466,0.691843681547,0.691922049449,0.620359942554
glass-0-1-6_vs_2,0.0,0.337729622198,0.283082186953,0.260560676094,0.0,0.260072977076,0.268762384484,0.240804648052
wisconsin,0.952579414732,0.958412258968,0.957530429115,0.951476519142,0.962313179707,0.957101119752,0.952935172953,0.958035736957
glass2,0.0,0.300537784703,0.252835469929,0.246573171643,0.0,0.239975444278,0.243738562808,0.23079065027
glass0,0.496184670502,0.660551449546,0.647499935826,0.646893869072,0.684990940909,0.639104906398,0.621851479738,0.64846354223
glass1,0.185202028301,0.481968939021,0.570463871776,0.515318622039,0.501980852039,0.564365435819,0.395377035452,0.568313249818
glass6,0.844380693309,0.804790062963,0.82568740014,0.808167240457,0.828668401398,0.82355885664,0.838361698862,0.748119278724
poker-8-9_vs_6,0.0,0.0319678546992,0.029529983355,0.0316799932004,0.0,0.0296895065239,0.0298836585059,0.0305125040057
ecoli4,0.696241830065,0.654412683926,0.737037093341,0.692916779807,0.721430763939,0.724633366634,0.754941855246,0.65867269985
ecoli1,0.748928488727,0.764516544895,0.752996498936,0.760011249256,0.732829491797,0.748825184438,0.74341572996,0.740376248957
ecoli2,0.683744345836,0.619201328289,0.727023688495,0.66185823248,0.684305912452,0.737377507986,0.739921296104,0.720548720193
ecoli3,0.452803878243,0.5629723994,0.609383823247,0.589755200714,0.628485640376,0.605205847935,0.613318167667,0.564050701154
abalone9-18,0.187747035573,0.474513716648,0.441233554502,0.456544431177,0.209355731225,0.441644218744,0.449009040019,0.410087186312
ecoli-0_vs_1,0.982818988287,0.9713931757,0.984006535918,0.982397413338,0.982054899868,0.983960304197,0.981057430402,0.976541229368
page-blocks0,0.649497114201,0.596912233594,0.651323160856,0.600539743641,0.679607199399,0.655597861344,0.665001081139,0.65508153611
yeast3,0.684326603636,0.639028208626,0.684257363631,0.656830100631,0.744257123152,0.683370634173,0.691996404857,0.633259044581
yeast4,0.0125356125356,0.248071597497,0.262677695002,0.306472058927,0.124452964742,0.271975414176,0.26723335547,0.229716439836
yeast5,0.351399080973,0.481797589291,0.521577364162,0.501824092465,0.521568121312,0.520790811498,0.523401014016,0.502539752758
yeast6,0.02,0.237636279986,0.302965792542,0.356608741586,0.121827697262,0.303389056419,0.313515900772,0.250683172055
segment0,0.987754152951,0.868255756351,0.989620934235,0.875924638967,0.988373256252,0.989322509255,0.989620934235,0.988722019864
page-blocks-1-3_vs_4,0.562138201234,0.60467048062,0.587604525604,0.601083077196,0.549250966425,0.596208599847,0.586879995562,0.437468614993
glass-0-1-2-3_vs_4-5-6,0.8211591965,0.846708028078,0.844681829466,0.851532497591,0.811582786841,0.833878390588,0.832558070804,0.825615077781
