Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.465444839595,0.764238113798,0.759094182942,0.756850597686,0.676040367595,0.754258752588,0.738633086991,0.759106416083
vowel0,0.825144576335,0.959344216488,0.948113458716,0.955958283916,0.830536718568,0.948509113351,0.94912546163,0.934485775825
yeast-1-2-8-9_vs_7,0.0,0.72203212525,0.702107144118,0.644533145317,0.0,0.708041236777,0.69050057513,0.655481291897
abalone19,0.0,0.764108253007,0.76006841811,0.454842576038,0.0,0.760554810554,0.760472246289,0.770423494525
vehicle0,0.946273129315,0.964938989989,0.965077869704,0.96396110651,0.959896288852,0.963604648544,0.964722659409,0.964351065025
vehicle1,0.593000934716,0.783457726017,0.772419401003,0.781232282366,0.733189036226,0.770141796472,0.751798813144,0.776990294396
yeast-0-5-6-7-9_vs_4,0.369701590349,0.771374736401,0.777221074961,0.787939930355,0.590002021638,0.778873102561,0.784752419895,0.791788532633
new-thyroid1,0.814838000175,0.975113141643,0.980666193634,0.977499697059,0.825082839497,0.980091421178,0.980091421178,0.974471719548
yeast-2_vs_8,0.721862482409,0.726200338634,0.747470578522,0.739370569858,0.734817806943,0.753254373094,0.751656780241,0.738621088291
yeast-1-4-5-8_vs_7,0.0,0.615717285313,0.633848497183,0.586963316499,0.0,0.644310037611,0.646108409812,0.603769260803
yeast-2_vs_4,0.764777440547,0.886902467926,0.872803742882,0.865730347026,0.796412729583,0.8849599029,0.881244566548,0.880509603567
glass-0-1-6_vs_2,0.0,0.723193575023,0.681639554717,0.640636288557,0.0,0.641059571147,0.652432584463,0.606264805893
wisconsin,0.962993368001,0.972688185945,0.96841950848,0.967434222006,0.975154632861,0.968024824362,0.963343263649,0.974226309518
glass2,0.0,0.708095414539,0.674846042276,0.667571582747,0.0,0.658476441791,0.656487337524,0.640802821058
glass0,0.603879718081,0.726173432447,0.723101101753,0.711640430067,0.75486591525,0.717864703166,0.708017069757,0.720387204981
glass1,0.324091001624,0.559295202252,0.613841852757,0.571874152303,0.591875511527,0.618508639543,0.512608732455,0.597288913256
glass6,0.898998746381,0.894897239033,0.913599456325,0.892994292868,0.899616665939,0.913053214335,0.913102706511,0.900184291434
poker-8-9_vs_6,0.0,0.475689256979,0.458120914535,0.47569731609,0.0,0.459650314055,0.463563594102,0.468376928023
ecoli4,0.739700030448,0.91751054557,0.91748716485,0.91735300916,0.785516355675,0.916283070783,0.924028888834,0.925862644448
ecoli1,0.820124466263,0.889517721041,0.867681704494,0.883671222912,0.848194341316,0.864686136765,0.853277613616,0.880187445253
ecoli2,0.770690616611,0.854026934774,0.898990801472,0.855715885632,0.788373776748,0.902381779486,0.893288681995,0.898427798179
ecoli3,0.571879807005,0.867690684506,0.877594360101,0.881846237764,0.797073063467,0.872863396054,0.874756596174,0.869421611347
abalone9-18,0.31827204722,0.824495901484,0.82016652937,0.795815199107,0.336902086021,0.822484336419,0.810631608104,0.815682115196
ecoli-0_vs_1,0.969319493409,0.967644936646,0.975318350001,0.97648197676,0.969317586514,0.975993606839,0.973200798622,0.970024089863
page-blocks0,0.713109484123,0.886336220837,0.87666729888,0.883516635395,0.75818938216,0.877659747416,0.875878286924,0.877407115682
yeast3,0.758733239286,0.910203073812,0.892019004124,0.907145479495,0.831676475682,0.893289622159,0.895614628258,0.902675699357
yeast4,0.0394328357567,0.796591581838,0.783932022828,0.79474143633,0.237620536217,0.795908934955,0.783528490543,0.824473436613
yeast5,0.489880326148,0.953945550898,0.960641494877,0.956289057772,0.669641778591,0.960570088125,0.960856054231,0.958565129356
yeast6,0.0471079302042,0.865828956811,0.86722615481,0.863038443289,0.211722720875,0.867020561752,0.869377323267,0.861573106354
segment0,0.989822655112,0.97315810575,0.991920414444,0.973046690862,0.990434948686,0.991870307328,0.991920414444,0.991770218014
page-blocks-1-3_vs_4,0.655295457361,0.853542433558,0.858976690659,0.911557309155,0.65445908929,0.87293663956,0.868545174465,0.814626962185
glass-0-1-2-3_vs_4-5-6,0.86111398046,0.906599597984,0.897433239389,0.908182348635,0.877310010642,0.889424148282,0.887200040324,0.903387443317
