Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.631041973446,0.51146078004,0.508266843505,0.507071800863,0.527336052585,0.504818048216,0.534466864142,0.501299040568
vowel0,0.897798822221,0.623356969899,0.629697163257,0.627712316508,0.899055194244,0.633761831521,0.6294631175,0.526314328912
yeast-1-2-8-9_vs_7,0.0,0.087494966595,0.080713280186,0.0875462645348,0.0,0.0833724948013,0.0812089072577,0.066823557094
abalone19,0.0,0.0287755773922,0.0280563900302,0.018861190004,0.0,0.028231743767,0.0283004939381,0.0246442016699
vehicle0,0.916873255101,0.839639705805,0.859880987664,0.83939088032,0.858179085142,0.859460827811,0.862737227351,0.849998827454
vehicle1,0.70978891303,0.53718276673,0.525801860628,0.525664982611,0.54578351818,0.526886274901,0.55167706614,0.523883351522
yeast-0-5-6-7-9_vs_4,0.705,0.285729611,0.314389404247,0.334882730273,0.698517316017,0.313729732374,0.330729930629,0.27170727628
new-thyroid1,1.0,0.881780751965,0.927346552656,0.878247900228,1.0,0.922375792422,0.922375792422,0.901690746474
yeast-2_vs_8,0.923650793651,0.135847722543,0.391856060606,0.765395306448,0.923650793651,0.407924728727,0.409191766088,0.319823346244
yeast-1-4-5-8_vs_7,0.0,0.0746425141722,0.0777503640945,0.0767195727026,0.0,0.0806279337289,0.0851537854622,0.0672981001995
yeast-2_vs_4,0.938347953216,0.465520534156,0.597250206653,0.530206867469,0.881290870311,0.592335513477,0.597441835708,0.489388005791
glass-0-1-6_vs_2,0.0,0.22725036725,0.18067222301,0.169083712537,0.0,0.168665431825,0.17348019098,0.147907944529
wisconsin,0.955023554864,0.936695933968,0.952520038887,0.9292366755,0.943289786708,0.952334681839,0.95530593708,0.927992303554
glass2,0.0,0.195321183015,0.155030117077,0.151198534091,0.0,0.146958506892,0.150842057407,0.136576189976
glass0,0.608846999691,0.524156273113,0.523362958097,0.507265660689,0.550887960593,0.529601781246,0.578330723256,0.519644491387
glass1,0.480586962057,0.412948053476,0.457666197549,0.422252401728,0.457397405489,0.463785618588,0.521817122433,0.446071715117
glass6,0.87509953282,0.787582422308,0.797069172657,0.798937327722,0.830094537815,0.794246245241,0.824832202112,0.669199063464
poker-8-9_vs_6,0.0,0.0167004764881,0.0154275368169,0.0165549412222,0.0,0.0155165213673,0.0156043225256,0.0159163681678
ecoli4,0.975,0.520015479876,0.644766483517,0.577074175824,0.895555555556,0.625489877769,0.665978604729,0.525253470954
ecoli1,0.790791218264,0.648615753963,0.668559451888,0.650016984774,0.660757121804,0.664013323334,0.677061214621,0.606522109135
ecoli2,0.774906053011,0.474360732933,0.608760333199,0.557438039009,0.726467597089,0.622927969433,0.641686271772,0.597131209075
ecoli3,0.592909566279,0.416732118212,0.473370891578,0.440233683078,0.609988272597,0.470341731135,0.481601231519,0.415699986644
abalone9-18,1.0,0.350272178255,0.315470264275,0.344968231498,1.0,0.314177984298,0.327822831523,0.283839724844
ecoli-0_vs_1,0.989323838008,0.92086768686,0.976720647773,0.961971050986,0.984128156496,0.974156545209,0.964141925326,0.946908875498
page-blocks0,0.890467796575,0.447000504177,0.533110759146,0.453810813134,0.814294469535,0.538572553446,0.555321182161,0.538034825671
yeast3,0.828961997772,0.482461493897,0.565626515295,0.509702940598,0.785121346919,0.562833886866,0.574435531356,0.481237694508
yeast4,0.0576923076923,0.148732573022,0.161487327139,0.196394228776,0.585416666667,0.167502549508,0.165232538464,0.133065068161
yeast5,0.690913253413,0.321208338307,0.35740398727,0.339646420033,0.653468588577,0.356554660572,0.359061271628,0.339378767473
yeast6,0.1,0.138442027418,0.186969688566,0.232502448746,0.361111111111,0.187575796593,0.195044089599,0.148742542984
segment0,0.995095626826,0.769705721014,0.99450088193,0.784662669435,0.995103017808,0.993902212307,0.99450088193,0.992686440947
page-blocks-1-3_vs_4,0.816666666667,0.507597913524,0.480553376906,0.461645826493,0.762857142857,0.482722581371,0.472987862463,0.345118094065
glass-0-1-2-3_vs_4-5-6,0.896800797833,0.829073745522,0.849110774563,0.83765664537,0.811914902618,0.842834991522,0.84632316431,0.772195579909
