Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.230188679245,0.779245283019,0.768867924528,0.765094339623,0.55,0.759433962264,0.683018867925,0.780188679245
vowel0,0.688888888889,0.98,0.953333333333,0.971111111111,0.697777777778,0.953333333333,0.955555555555,0.96
yeast-1-2-8-9_vs_7,0.0,0.693333333333,0.666666666667,0.52,0.0,0.673333333334,0.633333333333,0.693333333333
abalone19,0.0,0.725,0.71875,0.3,0.0,0.71875,0.71875,0.80625
vehicle0,0.919676767677,0.98896969697,0.979929292929,0.98696969697,0.969898989899,0.976919191919,0.977939393939,0.98294949495
vehicle1,0.372375127421,0.811119605844,0.793628950051,0.822230716955,0.666369351002,0.78538056405,0.706090723751,0.812062521237
yeast-0-5-6-7-9_vs_4,0.159538461538,0.749076923077,0.733384615385,0.744923076923,0.363384615385,0.737538461538,0.737692307692,0.827384615384
new-thyroid1,0.669281045752,0.977124183006,0.977124183006,0.983006535948,0.686274509804,0.977124183006,0.977124183006,0.971568627451
yeast-2_vs_8,0.53,0.66,0.62,0.57,0.55,0.63,0.62,0.65
yeast-1-4-5-8_vs_7,0.0,0.606666666667,0.633333333333,0.493333333333,0.0,0.64,0.626666666667,0.72
yeast-2_vs_4,0.591076923077,0.890615384615,0.815076923077,0.818923076923,0.642307692308,0.839076923077,0.831076923077,0.870615384615
glass-0-1-6_vs_2,0.0,0.7,0.698611111111,0.631944444444,0.0,0.633333333333,0.654166666667,0.759722222222
wisconsin,0.950644257703,0.981610644258,0.963193277311,0.975777310924,0.98243697479,0.962359943978,0.95149859944,0.990819327731
glass2,0.0,0.705555555556,0.718055555556,0.708333333333,0.0,0.683333333333,0.683333333333,0.813888888889
glass0,0.448571428571,0.902857142857,0.857142857143,0.902857142857,0.914285714286,0.817142857143,0.697142857143,0.871428571429
glass1,0.123684210526,0.58947368421,0.763157894737,0.671052631579,0.565789473684,0.728947368421,0.35,0.786842105263
glass6,0.829047619048,0.83619047619,0.870476190476,0.829523809524,0.835714285714,0.870476190476,0.863333333333,0.885238095238
poker-8-9_vs_6,0.0,0.374358974359,0.344871794872,0.369230769231,0.0,0.344230769231,0.352564102564,0.36858974359
ecoli4,0.56,0.89,0.87,0.88,0.63,0.87,0.88,0.91
ecoli1,0.714439946019,0.932186234818,0.864709851552,0.916599190284,0.823481781377,0.859581646424,0.825910931174,0.958299595142
ecoli2,0.615384615385,0.911538461538,0.907692307692,0.857692307692,0.653846153846,0.907692307692,0.880769230769,0.911538461538
ecoli3,0.382679738562,0.891830065359,0.880718954248,0.903594771242,0.678431372549,0.869281045752,0.869281045752,0.892483660131
abalone9-18,0.104761904762,0.747619047619,0.752380952381,0.695238095238,0.119047619048,0.757142857143,0.728571428572,0.761904761905
ecoli-0_vs_1,0.945411605938,0.981848852901,0.963765182186,0.974021592442,0.947975708502,0.96632928475,0.966194331984,0.971390013495
page-blocks0,0.513846646185,0.900559395801,0.839761904762,0.889829749104,0.584691500256,0.839756784434,0.83081797235,0.839399641577
yeast3,0.585335742246,0.948524540801,0.867570009033,0.925188196326,0.709349593496,0.871273712737,0.872523336345,0.933830171635
yeast4,0.00784615384615,0.752923076923,0.709846153846,0.706,0.0744615384616,0.729384615385,0.705846153846,0.851076923077
yeast5,0.245454545454,0.972727272727,0.977272727273,0.972727272727,0.459090909091,0.977272727273,0.977272727273,0.977272727273
yeast6,0.0111111111111,0.869281045752,0.82908496732,0.801960784314,0.0797385620915,0.82908496732,0.82908496732,0.852614379085
segment0,0.980550628234,0.996951219512,0.98480413895,0.992080561715,0.981762749446,0.98480413895,0.98480413895,0.98480413895
page-blocks-1-3_vs_4,0.435714285714,0.771428571429,0.792857142857,0.9,0.435714285714,0.821428571429,0.814285714286,0.828571428571
glass-0-1-2-3_vs_4-5-6,0.769384615385,0.879230769231,0.852,0.878923076923,0.828615384615,0.840461538462,0.836307692308,0.902307692308
