Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.634927980477,0.71145765133,0.714662817689,0.707108207845,0.707093327778,0.706657341825,0.688490268436,0.714365216356
vowel0,0.876884434546,0.977542687453,0.973758970552,0.973979213066,0.865882207375,0.979314526107,0.979759960406,0.961954961643
yeast-1-2-8-9_vs_7,0.509455099847,0.671058928181,0.660198219026,0.657288200093,0.509128302461,0.636425826031,0.639356632512,0.690025829837
abalone19,0.499975857074,0.536007665379,0.644026134717,0.536793819411,0.499879285369,0.644702136649,0.642397996137,0.573210405601
vehicle0,0.883017955614,0.926580061016,0.921101680722,0.9233944884,0.907216440289,0.926424723673,0.922771047246,0.928237460606
vehicle1,0.655248051622,0.723083317642,0.733589593697,0.739505691549,0.7230205571,0.722864792755,0.717046737574,0.734483439831
yeast-0-5-6-7-9_vs_4,0.611615433299,0.7938619328,0.789668163242,0.780041454239,0.711002967006,0.779470877633,0.782284737906,0.771578068498
new-thyroid1,0.868300653595,0.974509803922,0.962516339869,0.966895424837,0.886666666667,0.966732026144,0.966732026144,0.966895424837
yeast-2_vs_8,0.753701298701,0.791255411255,0.777402597402,0.770324675324,0.748484848485,0.788484848485,0.77803030303,0.791666666666
yeast-1-4-5-8_vs_7,0.501070657252,0.580838307914,0.57930910955,0.584915947779,0.509275318798,0.592626457492,0.595478287773,0.551822850314
yeast-2_vs_4,0.799933540597,0.881264976403,0.886706328154,0.863421012895,0.823500640164,0.885636599033,0.881710723185,0.884760357459
glass-0-1-6_vs_2,0.500977446883,0.625328718217,0.657138192268,0.653774817137,0.511259143156,0.682839167537,0.665939568095,0.621832549634
wisconsin,0.96788893936,0.9721651904,0.972807839352,0.974037304111,0.972099136952,0.9723468847,0.967730524642,0.975058577485
glass2,0.502688878582,0.607958410637,0.658196763554,0.6386002886,0.515683621934,0.636600700886,0.649762935477,0.659268707483
glass0,0.791587301587,0.772797619047,0.795674603175,0.790476190476,0.782638888889,0.801805555556,0.796111111111,0.789265873016
glass1,0.733676582761,0.744069412662,0.740236460717,0.757284515637,0.742581998475,0.75,0.719393592677,0.754919908467
glass6,0.869188873305,0.914034261671,0.915307052695,0.892363921726,0.862905897282,0.911825619448,0.908713517665,0.905667701863
poker-8-9_vs_6,0.641025641026,0.856478749561,0.943807516684,0.933271865121,0.621085353003,0.940325781524,0.948201615736,0.891406743941
ecoli4,0.884367088608,0.921898734177,0.910696202532,0.921012658228,0.89746835443,0.921329113924,0.923544303798,0.925379746835
ecoli1,0.847636443524,0.854028967768,0.872420519097,0.88994052663,0.876651288328,0.884520446913,0.878672912155,0.89053322035
ecoli2,0.933640303359,0.892334777898,0.921587215601,0.927762730227,0.932908992416,0.927031419285,0.93022751896,0.914355362947
ecoli3,0.772382591005,0.85656979613,0.846153183569,0.85315759858,0.856270051508,0.84680872614,0.850754317621,0.885085962862
abalone9-18,0.521138295055,0.635207821754,0.709468679282,0.682912273099,0.521138716356,0.69517201117,0.685449167028,0.647693858636
ecoli-0_vs_1,0.955836707152,0.962579435226,0.957515419779,0.968824802164,0.952602117428,0.970626865104,0.966489778753,0.969884506092
page-blocks0,0.831159734713,0.920823119887,0.91396516768,0.910759570069,0.85133265119,0.911034060026,0.913155845906,0.909976845196
yeast3,0.820462446957,0.879463812386,0.892223179277,0.887413150877,0.853643409338,0.895213164137,0.895887890649,0.901470006553
yeast4,0.572759441197,0.740800812906,0.780648496007,0.772482090959,0.624806863999,0.77939248672,0.788441502908,0.807426197167
yeast5,0.78303030303,0.940599747475,0.948080808081,0.934236111111,0.864412878788,0.941262626263,0.945252525253,0.945593434343
yeast6,0.731152471619,0.848872535945,0.844162215772,0.857933865398,0.790189366291,0.855644288921,0.853333446645,0.863689823272
segment0,0.987086829228,0.988776862063,0.989486444384,0.991400808001,0.987091861798,0.989078606355,0.989228937629,0.988212986981
page-blocks-1-3_vs_4,0.881885456885,0.973745173745,0.976898326898,0.977123552124,0.837902187902,0.98046975547,0.985392535392,0.960746460747
glass-0-1-2-3_vs_4-5-6,0.848483427142,0.910483079702,0.912496305561,0.914344289255,0.853400667084,0.907485048526,0.905730873463,0.910017812058
