Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.774231678487,0.749172576832,0.720094562648,0.713947990544,0.759101654846,0.720330969267,0.734042553192,0.725295508274
vowel0,0.974291497975,0.986437246963,0.981376518218,0.97995951417,0.970647773279,0.982388663968,0.983198380567,0.95991902834
yeast-1-2-8-9_vs_7,0.967899037475,0.862502118625,0.804003086503,0.860809002596,0.967266126083,0.801674382923,0.819839698129,0.811814345992
abalone19,0.992285577384,0.959175850503,0.890464781984,0.966890273119,0.99209391471,0.8918064207,0.893387637758,0.780689985625
vehicle0,0.921531565769,0.911111732093,0.90378252705,0.89929804167,0.909691048914,0.906625011178,0.906858624698,0.907803138693
vehicle1,0.761956764732,0.726954976303,0.71064562282,0.710884825181,0.732160422069,0.705899579719,0.729087677725,0.714669587767
yeast-0-5-6-7-9_vs_4,0.912894755721,0.845489633403,0.837910897482,0.846258698615,0.911025181146,0.829179998565,0.843977329794,0.799771863118
new-thyroid1,0.957199723088,0.973018345448,0.972109726549,0.97120110765,0.960020768432,0.974913464867,0.974913464867,0.967497403946
yeast-2_vs_8,0.977178423236,0.911618257261,0.885062240664,0.935684647303,0.976348547718,0.887966804979,0.895435684647,0.921576763485
yeast-1-4-5-8_vs_7,0.952669454115,0.80691559361,0.755272275991,0.814714897303,0.944011427429,0.762486048875,0.774030917359,0.629612200363
yeast-2_vs_4,0.954860101744,0.930756419574,0.933851138566,0.926825944768,0.958766351744,0.935413638566,0.934626332364,0.927295300388
glass-0-1-6_vs_2,0.9041779707,0.771904503527,0.752164948454,0.77699403147,0.890623982637,0.766706456864,0.775984807379,0.777145957678
wisconsin,0.971299583269,0.969835880023,0.97217591878,0.971007185608,0.972763286516,0.971590265988,0.969838452436,0.971593695872
glass2,0.914972047519,0.793448637317,0.784049615653,0.778371767994,0.908490566038,0.774737945493,0.78965758211,0.682686932215
glass0,0.790654205607,0.731775700935,0.763551401869,0.747663551402,0.742056074766,0.77476635514,0.78785046729,0.758878504673
glass1,0.778504672897,0.756074766355,0.745794392523,0.761682242991,0.73738317757,0.764485981308,0.765420560748,0.761682242991
glass6,0.948654786862,0.950436757512,0.942976939204,0.938382250175,0.943011879804,0.937351502446,0.942051013277,0.92713137666
poker-8-9_vs_6,0.98787968932,0.946932556511,0.973736726972,0.976565464551,0.987071608145,0.974948939428,0.974949120815,0.953662213
ecoli4,0.985119047619,0.95,0.955357142857,0.957142857143,0.983333333333,0.957738095238,0.961904761905,0.9125
ecoli1,0.905984480743,0.858349573044,0.878039187896,0.883949261241,0.884548063636,0.88281543422,0.898898061865,0.869078411225
ecoli2,0.959523809524,0.868452380952,0.923214285714,0.936309523809,0.952976190476,0.929761904762,0.940476190476,0.908333333333
ecoli3,0.917953442228,0.860209757999,0.877489990433,0.876884101619,0.909633986465,0.87921553343,0.881624915849,0.860744782624
abalone9-18,0.944460663224,0.889749232727,0.856933902238,0.878523093046,0.944460663224,0.855271352646,0.858014821469,0.816355266113
ecoli-0_vs_1,0.96908835441,0.965402099347,0.967303082899,0.972741548888,0.966385651707,0.978163484585,0.973609389206,0.977262583685
page-blocks0,0.956689459028,0.941519631778,0.944005038944,0.940533257099,0.953911386986,0.944151237794,0.950803846537,0.934576629157
yeast3,0.946365084468,0.893530440658,0.917249797026,0.91159376856,0.948926280916,0.920617803957,0.919943403389,0.902012122137
yeast4,0.966578211758,0.904583489991,0.893263077976,0.918202458211,0.96509409459,0.890837560824,0.897575391009,0.849974117403
yeast5,0.980862533693,0.957412398922,0.967654986523,0.966442048517,0.980592991914,0.967250673854,0.966442048518,0.95
yeast6,0.979379471559,0.920607269286,0.922623932229,0.960104111609,0.975740469301,0.923568964859,0.929638206708,0.879496442732
segment0,0.993500486215,0.985096961437,0.986744085634,0.990035780929,0.991334932775,0.987349545511,0.988043988391,0.986743935452
page-blocks-1-3_vs_4,0.979237288135,0.969491525423,0.975423728814,0.975847457627,0.972033898305,0.975847457627,0.978813559322,0.957627118644
glass-0-1-2-3_vs_4-5-6,0.901869322152,0.918553459119,0.9214360587,0.920440251572,0.897117400419,0.920405310971,0.919549266247,0.919549266247
