Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.440516163076,0.559928737225,0.557610863528,0.548648622035,0.556159325434,0.548924540267,0.528575385385,0.557468240607
vowel0,0.841747322431,0.929127450454,0.905147624864,0.900516539465,0.819125931559,0.911704205971,0.914501224196,0.848622085431
yeast-1-2-8-9_vs_7,0.0352941176472,0.177993727229,0.141676492045,0.167606241942,0.0341374269006,0.127483758506,0.134788083382,0.165128024441
abalone19,0.0,0.038332946804,0.0521433676072,0.0359452458831,0.0,0.0527728472906,0.0523357932721,0.0288574354565
vehicle0,0.829021031816,0.83537688811,0.823599045386,0.819328062343,0.825360337631,0.829438676146,0.827825847333,0.831876259856
vehicle1,0.48346666828,0.573248019366,0.580684790844,0.586691394712,0.574125648082,0.569650921537,0.567168657914,0.582986769896
yeast-0-5-6-7-9_vs_4,0.329799383964,0.476937567788,0.464697475033,0.468769575156,0.500536287411,0.447335773907,0.466765863065,0.426305777693
new-thyroid1,0.844236375661,0.922149889828,0.917605565903,0.916613804292,0.859293071865,0.925671493969,0.925286760024,0.911373464196
yeast-2_vs_8,0.637788957688,0.380452627373,0.332874633564,0.451547619047,0.632820512821,0.349935732874,0.352371808214,0.426325698639
yeast-1-4-5-8_vs_7,0.00952380952381,0.127263747172,0.116064867468,0.132973158138,0.0471801346801,0.124031757081,0.128296947414,0.09896695389
yeast-2_vs_4,0.723914567964,0.701672330231,0.714036851664,0.679886204019,0.757887313083,0.716473785045,0.711057871201,0.703632376395
glass-0-1-6_vs_2,0.0181818181818,0.252649641581,0.274635734636,0.288459522597,0.0613636363636,0.300507407784,0.289011050768,0.256726410371
wisconsin,0.958729175379,0.957921357404,0.960814775481,0.959724734819,0.961351979735,0.960008359734,0.956949779323,0.960473799418
glass2,0.0153846153846,0.223313492063,0.270927286154,0.252149354962,0.080404040404,0.250216894901,0.263335693887,0.269267931608
glass0,0.71267585496,0.68443414023,0.711193724347,0.705221076264,0.696182554627,0.718696781157,0.716444653061,0.703934959844
glass1,0.647919096396,0.672669252982,0.668107143312,0.688852950828,0.672364721163,0.679180270535,0.625830498194,0.685046693353
glass6,0.798735449735,0.82606005069,0.807550294266,0.787319215401,0.780046524357,0.792203414865,0.803990943922,0.767931989644
poker-8-9_vs_6,0.427933805101,0.331350466387,0.549064347247,0.566200928405,0.369815592904,0.554178893941,0.565237304067,0.404337654584
ecoli4,0.859339525284,0.683876856901,0.699469128295,0.716623631729,0.852110668829,0.716136628267,0.736971810798,0.589514753539
ecoli1,0.783205906968,0.732947628759,0.764993568915,0.780621867025,0.774172266376,0.777503253721,0.793583558543,0.765441032181
ecoli2,0.872604235933,0.689223938389,0.790576040473,0.81820129525,0.856507682593,0.804966642498,0.826566873383,0.760685814629
ecoli3,0.593612510191,0.565595096241,0.583937824268,0.587772407502,0.650616048246,0.58647464081,0.591466541731,0.580101435831
abalone9-18,0.0755441370224,0.266834734722,0.306606699991,0.302302647637,0.0773636363636,0.290709158845,0.285348049197,0.24456416061
ecoli-0_vs_1,0.976894553032,0.973333911271,0.975333261261,0.97907762951,0.974960511237,0.983455234831,0.979956900368,0.982747783158
page-blocks0,0.76001954174,0.757847848332,0.761848414914,0.750429332608,0.761610896459,0.760924541929,0.782406994925,0.736429010994
yeast3,0.729168055392,0.640471254933,0.695770281128,0.6811785564,0.758464736034,0.705083318302,0.70380746336,0.670000462699
yeast4,0.227782586751,0.289685757036,0.300012397281,0.344690658487,0.334888901123,0.294282010492,0.312076923805,0.263236145685
yeast5,0.633639323277,0.571805877098,0.636231854868,0.620050664063,0.696498693952,0.629778039713,0.627388649274,0.53838557555
yeast6,0.50699657068,0.316780894315,0.322212046654,0.469826822957,0.543760477935,0.331497499863,0.343970035191,0.259656785103
segment0,0.977243059499,0.950371146083,0.955589550704,0.966108883603,0.97000702427,0.957489980391,0.959646449014,0.95549182729
page-blocks-1-3_vs_4,0.812100317683,0.795673316511,0.827870427535,0.82998728373,0.727626992955,0.831837675178,0.850501913583,0.749305002444
glass-0-1-2-3_vs_4-5-6,0.778830051964,0.840606744815,0.844327977006,0.844682337187,0.776985234104,0.840982947732,0.838366190967,0.840837127986
