Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.569492819674,0.707145608629,0.714370895955,0.706765540314,0.698727162329,0.705695866293,0.681097714025,0.711555008949
vowel0,0.86782384845,0.977277858466,0.973437635291,0.973692758635,0.854979886231,0.979119271924,0.979540725576,0.960858626466
yeast-1-2-8-9_vs_7,0.0773751807159,0.63327994223,0.638536596311,0.612661177433,0.0773188359833,0.605231240388,0.599922854728,0.672353115395
abalone19,0.0,0.257502825856,0.588419946906,0.249913536812,0.0,0.587443878445,0.583348007952,0.508403056311
vehicle0,0.87959074682,0.925987841393,0.920450058528,0.922135977672,0.907050235442,0.925512951029,0.922000817756,0.927322719644
vehicle1,0.616301106143,0.722561358892,0.731629191659,0.736890641651,0.722238348874,0.721607534509,0.71561908812,0.732139290476
yeast-0-5-6-7-9_vs_4,0.464632940815,0.789777278649,0.785713449156,0.773569376624,0.663505218811,0.775473579508,0.776433468906,0.764438892134
new-thyroid1,0.856126152309,0.97429224062,0.961983657737,0.966587402338,0.877416646207,0.966296426538,0.966068653617,0.966328819381
yeast-2_vs_8,0.704923668581,0.773262148449,0.760061760473,0.735687779937,0.702322112348,0.773312438355,0.758419622492,0.76900069948
yeast-1-4-5-8_vs_7,0.0256241326334,0.509459739827,0.52634386172,0.506148173973,0.127962237846,0.542590401062,0.541504100157,0.446480702769
yeast-2_vs_4,0.773865130871,0.877898275344,0.88362082477,0.858616047245,0.804852009567,0.882244025167,0.877996984262,0.881356342845
glass-0-1-6_vs_2,0.033143398264,0.581653022714,0.635605793139,0.628400888186,0.118138250225,0.661959731889,0.641149028006,0.575586541177
wisconsin,0.967677716494,0.972079574011,0.972700915071,0.973914541222,0.971976884061,0.972253920432,0.967517108176,0.974961713018
glass2,0.0346262846958,0.552367043645,0.634683331776,0.604684943885,0.138855875153,0.60849582912,0.615893183225,0.613343158939
glass0,0.789759140813,0.76075093461,0.78873447467,0.778537156911,0.771783750119,0.795190874469,0.794190812694,0.782118219316
glass1,0.715128412809,0.740391765452,0.737100382456,0.754433795873,0.740013043664,0.74657001019,0.698419012277,0.750664067761
glass6,0.859973903221,0.910315504259,0.911680246411,0.88759478513,0.853426569025,0.908690088097,0.904869453034,0.903711098952
poker-8-9_vs_6,0.518726554364,0.84660605581,0.942050248491,0.930949559035,0.473188962681,0.938512201154,0.946869395978,0.883975005709
ecoli4,0.876197253962,0.920816812825,0.908510802345,0.919428887253,0.891805396762,0.919817742523,0.921941310371,0.923675364944
ecoli1,0.839934468883,0.853372616066,0.871912502396,0.889339050567,0.87596841461,0.883825652198,0.877535458819,0.889082698428
ecoli2,0.932616671408,0.89101738048,0.921262181447,0.927450025481,0.932216767666,0.926788433925,0.92974931019,0.914000057539
ecoli3,0.742576411037,0.855010950005,0.84388540877,0.851213122578,0.85157038961,0.843916091217,0.848246062562,0.883811699911
abalone9-18,0.139893116244,0.560147090777,0.687836104564,0.641703701832,0.155854692154,0.669063407078,0.655526810443,0.610402991011
ecoli-0_vs_1,0.954558600738,0.962449368861,0.956595722044,0.968644518624,0.951022329374,0.970202561317,0.965937234265,0.969444561088
page-blocks0,0.815687937906,0.920417743848,0.913116584298,0.909919188532,0.841070114953,0.910000123475,0.911848327186,0.909040539513
yeast3,0.803956983424,0.87909520335,0.891489260628,0.886765104229,0.844448713174,0.894455283317,0.895218962323,0.901026630658
yeast4,0.374189601869,0.71810200138,0.77038208248,0.754932316729,0.501222553278,0.76931619516,0.77900446605,0.801972844569
yeast5,0.749180917062,0.939934395028,0.947505005294,0.933359457622,0.854556484084,0.940499998794,0.944687484332,0.944835364201
yeast6,0.673417431447,0.843396639857,0.837775335502,0.848466489698,0.764869196973,0.850850542093,0.847922924259,0.862050961338
segment0,0.987039809858,0.988742386818,0.989463658584,0.991385480238,0.987057726726,0.98905351137,0.989209222343,0.988186086741
page-blocks-1-3_vs_4,0.8705480083,0.973555758321,0.976559380442,0.976805910106,0.812202595785,0.98030559869,0.985270459591,0.959719434831
glass-0-1-2-3_vs_4-5-6,0.838386802367,0.90959815103,0.911221552478,0.913783803132,0.845522053071,0.906103365394,0.904272287013,0.907928731463
