Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.581089278526,0.501155764141,0.462033930457,0.454280604009,0.517889851662,0.461141197157,0.476313259238,0.470554102732
vowel0,0.952512527725,0.895568945118,0.854484283979,0.84674735734,0.928466122916,0.858134671314,0.862130032765,0.788358971301
yeast-1-2-8-9_vs_7,0.15,0.110539793752,0.0825549387075,0.104725654737,0.158333333333,0.0741983229893,0.0795801473454,0.0977455749391
abalone19,0.0,0.0234281199622,0.0279518580001,0.0228515498382,0.0,0.0283125031895,0.0280991772963,0.0153929141491
vehicle0,0.851186080284,0.742740667011,0.725019657291,0.710403516541,0.761849664924,0.728713269671,0.732772376081,0.730686745224
vehicle1,0.54619126293,0.47897334977,0.46284245092,0.464301180804,0.485369830068,0.457066907876,0.482223734355,0.469321582257
yeast-0-5-6-7-9_vs_4,0.677420634921,0.35569692199,0.342547826094,0.357168581163,0.556724056518,0.325749992017,0.351487883713,0.310377098809
new-thyroid1,1.0,0.875093191982,0.890952565237,0.878145519771,0.973651960784,0.899763133323,0.900068922306,0.871315438428
yeast-2_vs_8,0.909365079365,0.273208575574,0.236625889063,0.462653907496,0.896666666667,0.254513779182,0.265191942047,0.355220030905
yeast-1-4-5-8_vs_7,0.0166666666667,0.0790275519925,0.0685163510554,0.0834975148379,0.15119047619,0.0734392849906,0.0766294166269,0.0582819895437
yeast-2_vs_4,0.916508088743,0.618535954794,0.635240375038,0.60360613114,0.904188903632,0.639658058054,0.634564132221,0.623756877157
glass-0-1-6_vs_2,0.05,0.178001572502,0.185513041319,0.205890370641,0.0916666666666,0.205536876748,0.201162609003,0.189159196186
wisconsin,0.961708970443,0.937264036063,0.947764016553,0.937039293821,0.953637667813,0.946109515513,0.95429612313,0.935837370034
glass2,0.02,0.160099330494,0.186548895549,0.174311879562,0.283333333333,0.171454547034,0.182502561448,0.188889382473
glass0,0.651289709942,0.558852175147,0.595195797073,0.577324864733,0.570229051858,0.612407277227,0.639528583324,0.59118574841
glass1,0.743944757406,0.652867421181,0.629251180386,0.650310861566,0.606815419765,0.665123947535,0.719226959997,0.652914506302
glass6,0.854480176686,0.811723142698,0.769937302083,0.76998067055,0.825896538102,0.737456660986,0.773724082935,0.694542803744
poker-8-9_vs_6,1.0,0.216608673408,0.398137295974,0.420588511035,0.983333333333,0.403075158787,0.413234103905,0.301229201069
ecoli4,0.976388888889,0.560276991241,0.596780058177,0.617806956116,0.917171717172,0.610054945055,0.640678071928,0.443375644271
ecoli1,0.839723030175,0.648685072294,0.689869926258,0.69035863983,0.705412327091,0.695033950298,0.754006094696,0.652393591127
ecoli2,0.852240602886,0.552795981456,0.697627884609,0.742790453728,0.816022112724,0.717557774004,0.756039134569,0.651791595572
ecoli3,0.649088010373,0.429420820333,0.465514985705,0.465466131369,0.566708827353,0.469900622319,0.472498680291,0.426206819448
abalone9-18,0.416666666667,0.219412713012,0.215867852115,0.22663107889,0.55,0.204141587301,0.202564720146,0.179144548793
ecoli-0_vs_1,1.0,0.948789239274,0.981567701304,0.966526162142,0.997297297297,0.991808575493,0.982065999897,0.989608636977
page-blocks0,0.874232984415,0.657559025303,0.674282985878,0.658547701193,0.808182717741,0.676973240021,0.713843517308,0.638827102756
yeast3,0.818928111594,0.51050411605,0.584567093961,0.566686474091,0.789725939111,0.597097592472,0.593874168931,0.53545084006
yeast4,0.545515873016,0.195578086431,0.194934279376,0.242026844972,0.518476013234,0.189824313972,0.203960141575,0.161306920339
yeast5,0.748077412783,0.41880750624,0.487654523939,0.475985384406,0.667516840817,0.484005469044,0.478575727891,0.383447720222
yeast6,0.599133686157,0.200744518395,0.20703003492,0.346296468659,0.520606186241,0.212379730109,0.223171900096,0.155355247845
segment0,0.976475899743,0.911218766251,0.921223532033,0.940655101916,0.959349209291,0.926473699976,0.930874426943,0.92387130701
page-blocks-1-3_vs_4,0.879831002331,0.674637364356,0.72208247334,0.724279120115,0.822311805841,0.723949943302,0.748017828031,0.626824938024
glass-0-1-2-3_vs_4-5-6,0.832885313978,0.798429916266,0.805498061776,0.797990184701,0.806068579813,0.809086279461,0.806823864761,0.807596644822
