Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.355660377358,0.635849056604,0.703773584906,0.693396226415,0.602830188679,0.679245283019,0.597169811321,0.692452830189
vowel0,0.757777777778,0.966666666667,0.964444444444,0.966666666667,0.737777777778,0.975555555556,0.975555555556,0.964444444444
yeast-1-2-8-9_vs_7,0.02,0.466666666667,0.506666666667,0.44,0.02,0.46,0.446666666667,0.56
abalone19,0.0,0.10625,0.39375,0.1,0.0,0.39375,0.3875,0.3625
vehicle0,0.810242424243,0.955787878788,0.953797979798,0.968888888889,0.902535353535,0.963818181818,0.952808080808,0.966828282828
vehicle1,0.436094121645,0.715154604146,0.780691471288,0.798250084947,0.704230377166,0.757670744139,0.692286782195,0.775161399932
yeast-0-5-6-7-9_vs_4,0.238307692308,0.729846153846,0.729846153846,0.698,0.463076923077,0.717846153846,0.705846153846,0.736769230769
new-thyroid1,0.736601307189,0.976797385621,0.948366013072,0.96045751634,0.777777777778,0.954575163399,0.954575163399,0.966013071895
yeast-2_vs_8,0.51,0.66,0.66,0.59,0.5,0.68,0.65,0.65
yeast-1-4-5-8_vs_7,0.00666666666667,0.333333333333,0.386666666667,0.333333333333,0.0333333333333,0.406666666667,0.4,0.466666666667
yeast-2_vs_4,0.606769230769,0.819538461539,0.827846153846,0.784307692308,0.654769230769,0.823538461538,0.815692307692,0.831692307692
glass-0-1-6_vs_2,0.0111111111111,0.447222222222,0.541666666667,0.504166666667,0.05,0.580555555555,0.531944444444,0.433333333333
wisconsin,0.95649859944,0.979915966387,0.974894957983,0.984110644258,0.96987394958,0.97487394958,0.96068627451,0.986603641457
glass2,0.0125,0.3875,0.508333333333,0.472222222222,0.0486111111111,0.472222222222,0.483333333333,0.630555555555
glass0,0.794285714286,0.891428571429,0.888571428572,0.914285714286,0.9,0.88,0.82,0.877142857143
glass1,0.578947368421,0.702631578947,0.721052631579,0.742105263158,0.76052631579,0.7,0.560526315789,0.731578947368
glass6,0.76,0.86380952381,0.877142857143,0.829047619048,0.752857142857,0.876666666667,0.862857142857,0.876190476191
poker-8-9_vs_6,0.282051282051,0.762820512821,0.912820512821,0.888461538462,0.242307692308,0.904487179487,0.920512820513,0.826923076923
ecoli4,0.77,0.89,0.86,0.88,0.8,0.88,0.88,0.94
ecoli1,0.740013495277,0.846221322537,0.862145748988,0.901079622132,0.862145748988,0.887854251012,0.841430499325,0.930094466937
ecoli2,0.896153846154,0.926923076923,0.919230769231,0.915384615384,0.903846153846,0.923076923077,0.915384615384,0.923076923077
ecoli3,0.588562091503,0.851960784313,0.806535947712,0.823202614379,0.788888888889,0.805882352941,0.811764705882,0.91568627451
abalone9-18,0.0428571428571,0.347619047619,0.542857142857,0.461904761905,0.0428571428571,0.514285714286,0.490476190476,0.457142857143
ecoli-0_vs_1,0.911673414305,0.953171390013,0.924831309042,0.955802968961,0.90661268556,0.945479082321,0.942780026991,0.945344129555
page-blocks0,0.673392217102,0.894811827957,0.876210957501,0.873341013825,0.722409114183,0.869412442396,0.865839733743,0.879061699949
yeast3,0.659093646492,0.86142728094,0.86014754592,0.85642878651,0.731511592894,0.862646793134,0.865055706113,0.900752785306
yeast4,0.149846153846,0.564923076923,0.659692307693,0.616,0.259384615385,0.659692307692,0.671230769231,0.761692307692
yeast5,0.572727272727,0.922727272727,0.927272727273,0.9,0.740909090909,0.913636363636,0.922727272727,0.940909090909
yeast6,0.470588235294,0.773529411765,0.761764705882,0.750653594771,0.595424836601,0.78431372549,0.773202614379,0.847058823529
segment0,0.978115299335,0.993924611973,0.993322246859,0.993311160384,0.98115668884,0.991496674058,0.99088691796,0.990269770879
page-blocks-1-3_vs_4,0.771428571429,0.978571428571,0.978571428571,0.978571428571,0.685714285714,0.985714285714,0.992857142857,0.964285714286
glass-0-1-2-3_vs_4-5-6,0.746153846154,0.894769230769,0.895076923077,0.902461538461,0.769538461538,0.882615384615,0.879076923077,0.891384615385
