Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.634759835724,0.703571215999,0.71183262901,0.714333968216,0.711482947444,0.712311767157,0.696504672341,0.724337837034
vowel0,0.886993318486,0.978431081415,0.980648354368,0.972759218016,0.886547884187,0.981093788666,0.981093788666,0.955951497154
yeast-1-2-8-9_vs_7,0.509346167385,0.67428380474,0.646705720619,0.664935258917,0.512679500718,0.648997821351,0.650350010941,0.659161029769
abalone19,0.499975857074,0.536804381941,0.647658136166,0.548810960889,0.499951714148,0.643905420087,0.647971994206,0.560040439401
vehicle0,0.886476929599,0.925656318951,0.921880831014,0.922492631857,0.903534811479,0.921282459963,0.912506176314,0.919640059001
vehicle1,0.658670378687,0.714994374461,0.728040893445,0.725790763821,0.721747984994,0.725917597377,0.700691325973,0.735568207993
yeast-0-5-6-7-9_vs_4,0.634370675596,0.782223225949,0.791177249529,0.787805410932,0.713136127963,0.788980818591,0.790907957905,0.778782986642
new-thyroid1,0.881732026144,0.965065359477,0.971339869281,0.972450980392,0.889836601307,0.967287581699,0.970620915033,0.96045751634
yeast-2_vs_8,0.748917748918,0.786688311688,0.773722943723,0.770779220779,0.748917748918,0.782402597402,0.77329004329,0.766082251082
yeast-1-4-5-8_vs_7,0.503801125954,0.582045402152,0.582940462757,0.582826229389,0.507903456727,0.580664986229,0.584128841651,0.572479404021
yeast-2_vs_4,0.79624029993,0.87320050639,0.880422284612,0.86490839046,0.827701838391,0.881043861311,0.886094474491,0.878400648202
glass-0-1-6_vs_2,0.504525862069,0.685882532219,0.662959334727,0.665826367119,0.516272640195,0.672472570533,0.666355363985,0.583622866597
wisconsin,0.969780831251,0.973216746158,0.974316848361,0.976345862669,0.971843629344,0.971802842759,0.96708863275,0.975394901204
glass2,0.502188981653,0.608989125953,0.649957482993,0.646106472892,0.527158060194,0.653446454339,0.644166151309,0.632932642754
glass0,0.792321428571,0.784027777778,0.781428571429,0.784841269841,0.780555555556,0.780734126984,0.774503968254,0.784781746032
glass1,0.739130434783,0.743783371472,0.75881006865,0.751868802441,0.739626239512,0.753279938978,0.716952707857,0.758543096873
glass6,0.869188873305,0.907440726641,0.912595505243,0.890111701062,0.869816503039,0.9077158886,0.910648667602,0.898660922995
poker-8-9_vs_6,0.637820512821,0.85736916052,0.937027572884,0.937780997541,0.645512820513,0.932518440464,0.9411257464,0.902786266245
ecoli4,0.899050632911,0.926898734177,0.92164556962,0.91664556962,0.907784810127,0.922911392405,0.922594936709,0.92917721519
ecoli1,0.850244013432,0.861625396228,0.872038885227,0.873407400433,0.883051658664,0.874138028434,0.881995260961,0.886005555033
ecoli2,0.937676056338,0.89127843987,0.920530877573,0.926895991333,0.937973997833,0.924214517876,0.931094257855,0.916440953413
ecoli3,0.791201705406,0.849864000346,0.852155391075,0.852214214604,0.858712375016,0.857752196684,0.847425399299,0.871295459464
abalone9-18,0.516521739131,0.638228910877,0.710100390004,0.688457556936,0.525755272281,0.720058560836,0.69944460494,0.674002660215
ecoli-0_vs_1,0.95388416871,0.957825161722,0.962376649687,0.974948165149,0.95388416871,0.967243146237,0.95995850836,0.968699511509
page-blocks0,0.834572055184,0.920116777887,0.915447526926,0.913708337091,0.856651473806,0.913343648722,0.910668258414,0.909491972551
yeast3,0.825775674079,0.882846858435,0.894066930223,0.888898355079,0.852447146106,0.892878653287,0.892551364785,0.898501775749
yeast4,0.574277802451,0.751531109245,0.774826834223,0.770597395261,0.635746073173,0.770383932119,0.776858188005,0.823077307563
yeast5,0.791773989899,0.947765151515,0.938573232323,0.934791666667,0.870467171717,0.943118686869,0.941123737374,0.953383838384
yeast6,0.731497870743,0.850934524099,0.849717771328,0.857865280906,0.795839164509,0.850684622157,0.851150890864,0.855443676169
segment0,0.987442161261,0.989334265364,0.989888739176,0.991099472243,0.987546254052,0.989636060723,0.98963595859,0.988722508321
page-blocks-1-3_vs_4,0.895945945946,0.977316602317,0.977799227799,0.977123552123,0.900611325611,0.977123552123,0.977123552123,0.960296010296
glass-0-1-2-3_vs_4-5-6,0.855644731661,0.911725175457,0.912263706483,0.926644523198,0.858644592685,0.917500104232,0.906959743358,0.924267366178
