Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.770685579196,0.737352245863,0.718676122931,0.71536643026,0.757210401891,0.721276595745,0.736643026005,0.701654846336
vowel0,0.974493927125,0.986234817814,0.982995951417,0.981376518219,0.973684210526,0.983805668016,0.983805668016,0.956275303644
yeast-1-2-8-9_vs_7,0.967688067011,0.862502118625,0.796606185494,0.863130569754,0.967899483501,0.801044147688,0.809908475393,0.808238552734
abalone19,0.992285577384,0.960757067561,0.891518926689,0.966123622424,0.992237661715,0.890225203642,0.892141830379,0.803785337806
vehicle0,0.921525976929,0.909691048914,0.902839130824,0.897402307073,0.906147724224,0.903543324689,0.900719842618,0.896196235357
vehicle1,0.760771930609,0.714424796566,0.711355405526,0.702605517303,0.730275865152,0.706849682554,0.711108378789,0.698322230171
yeast-0-5-6-7-9_vs_4,0.916296721429,0.843585623072,0.831495803142,0.847753784346,0.911782767774,0.8303407705,0.846615969582,0.805723509578
new-thyroid1,0.960003461405,0.968388715819,0.97492211838,0.973052959501,0.96186396677,0.975830737279,0.977699896158,0.957277604707
yeast-2_vs_8,0.977178423237,0.912033195021,0.878008298755,0.927385892116,0.977178423237,0.885477178423,0.877178423237,0.890871369295
yeast-1-4-5-8_vs_7,0.951804067898,0.809224400726,0.756130998984,0.804627609069,0.947475471007,0.757866768836,0.764494178008,0.6325931602
yeast-2_vs_4,0.954087936047,0.928803294574,0.932315891473,0.926423207364,0.960316739341,0.93035065407,0.939322916667,0.925333091085
glass-0-1-6_vs_2,0.909397721107,0.775963103635,0.761508410201,0.777037438958,0.900998372219,0.759403147043,0.767650569723,0.647878459034
wisconsin,0.972763286516,0.970710500592,0.973640479498,0.972761571573,0.972178491194,0.971881806177,0.96925022723,0.971006328137
glass2,0.914063591894,0.795370370371,0.788766596786,0.789709993012,0.908473095737,0.776572327044,0.779332634521,0.577183787561
glass0,0.790654205608,0.743925233645,0.753271028037,0.742056074766,0.739252336449,0.752336448598,0.760747663551,0.760747663551
glass1,0.779439252337,0.745794392523,0.768224299065,0.748598130841,0.73738317757,0.76261682243,0.760747663551,0.766355140187
glass6,0.948654786862,0.949510831586,0.938277428372,0.939325646401,0.944898672257,0.929821802935,0.940146750524,0.915041928721
poker-8-9_vs_6,0.987745462593,0.948682220037,0.975891247329,0.977374089888,0.988014641597,0.975083166155,0.975891065942,0.953130747715
ecoli4,0.986309523809,0.950595238095,0.958333333333,0.957738095238,0.985119047619,0.960714285714,0.960119047619,0.919642857143
ecoli1,0.908393863161,0.857194486766,0.877454558339,0.872621620664,0.891698260284,0.886358643659,0.897023704071,0.859575523509
ecoli2,0.96369047619,0.866666666667,0.921428571428,0.9375,0.953571428572,0.925,0.939285714286,0.906547619048
ecoli3,0.924504836481,0.857828721256,0.875080608015,0.879871027176,0.909056443326,0.880434397477,0.875651064734,0.863830918045
abalone9-18,0.94418743918,0.887014746613,0.853910472341,0.876332060783,0.944734635826,0.855823040647,0.859111460439,0.811159517928
ecoli-0_vs_1,0.967286552608,0.959996693942,0.969055293826,0.979113976362,0.967286552608,0.975411191008,0.968220514092,0.977246053393
page-blocks0,0.956835791466,0.941958228327,0.943822357176,0.941264358219,0.954350357582,0.944882419067,0.948902860723,0.935711420249
yeast3,0.947174074538,0.892858219677,0.917652475739,0.910382099778,0.946770306032,0.915498317177,0.918732097871,0.904442361728
yeast4,0.965634268921,0.903238684765,0.889622985925,0.914561639631,0.964151968076,0.891781503661,0.893398757272,0.822653175023
yeast5,0.980727762803,0.958490566038,0.966307277628,0.967520215633,0.979514824798,0.966576819407,0.966981132076,0.952291105121
yeast6,0.980054598657,0.919662236656,0.922893111233,0.959970975166,0.975874695539,0.924782449965,0.930983738464,0.879900211238
segment0,0.993240745956,0.985616592139,0.987869776942,0.989948900478,0.991680802574,0.987869326395,0.987436125598,0.985009630439
page-blocks-1-3_vs_4,0.980508474576,0.969915254237,0.977118644068,0.975847457627,0.976694915254,0.975847457627,0.975847457627,0.956779661017
glass-0-1-2-3_vs_4-5-6,0.902760307477,0.920457721873,0.923287910552,0.928860936408,0.899004192872,0.925157232704,0.919514325646,0.925139762404
