Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.440371086526,0.547645867297,0.553867360768,0.556410311577,0.560708576627,0.55555710258,0.539406829641,0.564054969921
vowel0,0.845825290929,0.928770917892,0.914827595845,0.905634518262,0.841804010709,0.91862133219,0.918256177065,0.829710380962
yeast-1-2-8-9_vs_7,0.0360294117648,0.182059487695,0.131525587094,0.174369520599,0.0485294117648,0.13473053545,0.138279334471,0.147634774407
abalone19,0.0,0.0396841273103,0.0531917943375,0.0413619470133,0.0,0.0515438984605,0.0534728354214,0.0262997247016
vehicle0,0.831001433936,0.833299229575,0.822758758549,0.816791276407,0.818641734139,0.82330435878,0.816311966636,0.814576680746
vehicle1,0.490535070074,0.562581336993,0.575452999466,0.57169834485,0.572528020265,0.572289904783,0.546509084458,0.580805515515
yeast-0-5-6-7-9_vs_4,0.383335088278,0.466008167505,0.460077333746,0.475316346188,0.506393636317,0.45659415557,0.477030114285,0.432850535867
new-thyroid1,0.857183898132,0.908649871591,0.927138834817,0.92271221039,0.866056118574,0.928105506929,0.934372300038,0.892512780191
yeast-2_vs_8,0.639764957265,0.377205296337,0.319899386328,0.429400651683,0.639764957265,0.341268519948,0.317437608087,0.414661535782
yeast-1-4-5-8_vs_7,0.0212885154062,0.127930284582,0.118672679366,0.128274060716,0.0447250639387,0.117326044952,0.119755991682,0.110205273661
yeast-2_vs_4,0.71962072388,0.691706651102,0.706014803828,0.680378733082,0.765538263679,0.699218801405,0.727943737223,0.693378896982
glass-0-1-6_vs_2,0.02,0.3103936561,0.282828542828,0.293113652181,0.0598484848485,0.288926687217,0.287670715557,0.198064912905
wisconsin,0.960903121078,0.959166862016,0.962883309969,0.962201406777,0.960588022393,0.960211401313,0.956040173568,0.959877779101
glass2,0.0153846153846,0.226520214678,0.26374951512,0.259919379666,0.11397047397,0.265334184323,0.254745141041,0.219294208753
glass0,0.713581046451,0.697350301648,0.696514324143,0.699004103049,0.693657159542,0.695459355459,0.690745308965,0.700559629688
glass1,0.656209857991,0.674190218823,0.688997280618,0.683436089752,0.66845621676,0.681979040251,0.622896055368,0.688685974073
glass6,0.798166463166,0.820735632184,0.796904269419,0.785619894103,0.788737526841,0.777838057999,0.799195639342,0.740901733851
poker-8-9_vs_6,0.418648459384,0.340997209692,0.566408250878,0.578475491622,0.439040616247,0.557515440269,0.565761381322,0.409926368185
ecoli4,0.873419332645,0.688683563748,0.718286510591,0.716543859649,0.867891788294,0.731472990777,0.727347116652,0.596576603473
ecoli1,0.787849653792,0.737052588124,0.764464392751,0.758590325216,0.785885740943,0.774865567154,0.791623650563,0.75438600978
ecoli2,0.884554328394,0.68779443544,0.78545439262,0.821146177133,0.860037594876,0.794800791085,0.824604767162,0.75831863608
ecoli3,0.630538862009,0.5564638429,0.584977372093,0.590887927344,0.652843717324,0.59606635814,0.581705475937,0.581136990218
abalone9-18,0.0588774703557,0.267784877864,0.302200007214,0.307006944266,0.0936600790513,0.310701615031,0.29917237905,0.25454493008
ecoli-0_vs_1,0.975532406615,0.969048427048,0.976471823862,0.984012332576,0.975532406615,0.981433717557,0.975922550345,0.982821325694
page-blocks0,0.762580202501,0.758740576064,0.76209908558,0.753812481674,0.766290765377,0.764300855287,0.775348502803,0.74148099502
yeast3,0.735140111202,0.641298897149,0.697666742577,0.679364743741,0.750632291188,0.692163299214,0.699294901524,0.672647938054
yeast4,0.229489669635,0.296298496056,0.289869059098,0.332811412686,0.347643163125,0.290331686462,0.297383181819,0.251179221046
yeast5,0.644065285039,0.581092449989,0.62141493032,0.628982814254,0.6898129977,0.625413683892,0.628611908256,0.551831366384
yeast6,0.518043051927,0.317199534973,0.327148781867,0.468767311959,0.550766268452,0.329946627833,0.346118715729,0.262908687177
segment0,0.976386627344,0.952061765553,0.959173005116,0.965794350952,0.971170519926,0.95911191766,0.957791423422,0.949960000757
page-blocks-1-3_vs_4,0.827205461206,0.797588295092,0.836736281736,0.829859962766,0.802494810426,0.829821546145,0.829548224695,0.747565104283
glass-0-1-2-3_vs_4-5-6,0.786573771904,0.842997437702,0.847036374603,0.861392647654,0.783960855609,0.852064521711,0.839233839752,0.855046217339
