Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.571849201042,0.699422352512,0.710685106404,0.713835248534,0.704441633071,0.711565516348,0.691329837298,0.722250709494
vowel0,0.879138526615,0.978195800651,0.980462101005,0.972376834439,0.878748001457,0.980916509914,0.980913727837,0.955434537263
yeast-1-2-8-9_vs_7,0.0774033837707,0.637974294924,0.620447710711,0.623832870997,0.103223272745,0.621313373074,0.622498486066,0.630776003606
abalone19,0.0,0.262042494372,0.59377177284,0.277655023529,0.0,0.585590590385,0.592054903606,0.475816256594
vehicle0,0.883750934805,0.925046248498,0.921145356542,0.921131499279,0.903254991574,0.920581920156,0.912107329782,0.918246162984
vehicle1,0.623744902309,0.714560924074,0.726922619031,0.723920014103,0.721317408111,0.724439752929,0.699798930976,0.729616985341
yeast-0-5-6-7-9_vs_4,0.517203003981,0.776819411942,0.787973508188,0.782315037821,0.667306481597,0.785959932557,0.785880928714,0.77443744602
new-thyroid1,0.871634064866,0.964788247507,0.971028727022,0.972297368688,0.881309139676,0.966842761786,0.970339077514,0.959929616677
yeast-2_vs_8,0.702629553718,0.76846292712,0.75690761899,0.742284665321,0.702629553718,0.766059410782,0.756147851257,0.739370502617
yeast-1-4-5-8_vs_7,0.0514051069078,0.505081922177,0.531341581259,0.508816756144,0.102927129941,0.526520233632,0.528397757325,0.508260657601
yeast-2_vs_4,0.770074573108,0.869203071859,0.876750410811,0.860460666035,0.809119281679,0.877580286407,0.882564292403,0.874564319706
glass-0-1-6_vs_2,0.0351515601917,0.666039200438,0.638638702616,0.640467498159,0.116128879021,0.653213723302,0.641826904448,0.498812503603
wisconsin,0.969605486229,0.973118240625,0.974244786438,0.976238890702,0.971754057053,0.971672882255,0.966828744007,0.975239260306
glass2,0.0346262846958,0.553170853363,0.615119529557,0.606617675986,0.188138890244,0.626156763723,0.612391396477,0.557099568411
glass0,0.79045245924,0.773698133634,0.775786131443,0.773231222426,0.769371581024,0.7740367384,0.770681508151,0.780518182094
glass1,0.723842661753,0.74220930577,0.756379814886,0.74873986725,0.735923852883,0.749873999775,0.696595063759,0.755650814801
glass6,0.859864837997,0.903442074874,0.909152427343,0.88396179378,0.861203538628,0.904306131379,0.907185049017,0.896121958179
poker-8-9_vs_6,0.51107412386,0.847403666297,0.934934946649,0.935536210545,0.527320916455,0.930226469498,0.939119268021,0.896115732752
ecoli4,0.892857295027,0.925887890433,0.920127208172,0.914739989468,0.902889381465,0.921326186304,0.921008062358,0.927858817591
ecoli1,0.842487046074,0.861221736395,0.871544361817,0.872918817002,0.882308553067,0.873392496982,0.881171314431,0.883504030212
ecoli2,0.936758211697,0.889934643518,0.92023301433,0.926553298465,0.937561173806,0.923939980364,0.930879109385,0.916038113109
ecoli3,0.767910300259,0.848290120721,0.850100537245,0.849339205469,0.85402424847,0.855779983095,0.844840755872,0.869856130743
abalone9-18,0.109077296386,0.56872869641,0.690710109093,0.652422886394,0.183518154893,0.701170644005,0.674197054053,0.648996678514
ecoli-0_vs_1,0.952561486005,0.957657287861,0.961909712037,0.974823062876,0.952561486005,0.966635397707,0.959249661922,0.968111435593
page-blocks0,0.819887546338,0.919685177163,0.914696445855,0.913002081642,0.847464113952,0.912431454425,0.909306714574,0.908422038971
yeast3,0.810437226113,0.882629287691,0.893452094436,0.888412390984,0.843324669159,0.892294541294,0.891781931926,0.898206172626
yeast4,0.382673911491,0.731813345815,0.764265436458,0.752824360486,0.522728576501,0.75833240022,0.765934327989,0.82147884382
yeast5,0.763404653834,0.947426774955,0.937866492124,0.933920068545,0.861661222766,0.942578987218,0.940429687433,0.952522061696
yeast6,0.675859482774,0.846381244943,0.844282022562,0.848426463362,0.772173340174,0.845271914203,0.844724556413,0.852360161587
segment0,0.98740559711,0.98930195363,0.989868979282,0.991090941758,0.987520366421,0.989620907526,0.989614815519,0.988696709638
page-blocks-1-3_vs_4,0.887318309916,0.977150799998,0.977475893312,0.976781349414,0.89280140721,0.97678957428,0.976790635071,0.959290093023
glass-0-1-2-3_vs_4-5-6,0.848084749882,0.910674207874,0.911132327721,0.926079871808,0.852552914945,0.916702789232,0.905693006385,0.92349024816
