Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.566894740554,0.482353863006,0.460395085791,0.457188193169,0.514207290603,0.464077841205,0.480559743578,0.445902753654
vowel0,0.9316344842,0.893631563136,0.862282125758,0.857900416496,0.921552465155,0.868770508335,0.867688313932,0.758274872336
yeast-1-2-8-9_vs_7,0.2,0.113227290371,0.07620892049,0.109064959251,0.3,0.078368825035,0.0810106983114,0.0879845519715
abalone19,0.0,0.0244766711538,0.0285221478667,0.0260403579926,0.0,0.0276158310034,0.0286852233433,0.014045678631
vehicle0,0.843671354507,0.739586622435,0.721260512452,0.706224792869,0.753266502785,0.724000075067,0.725297320602,0.707069384664
vehicle1,0.543688046616,0.46374848112,0.462585432978,0.453853753544,0.482609220155,0.457562899584,0.457824063363,0.454788746088
yeast-0-5-6-7-9_vs_4,0.700892747603,0.349912078293,0.335611626205,0.359343228666,0.564817771553,0.332125164032,0.359837953314,0.309743497346
new-thyroid1,0.986057692308,0.864152203146,0.892848945001,0.880150532302,0.980175339366,0.904616934493,0.911722197651,0.840655962545
yeast-2_vs_8,0.9175,0.271126870716,0.225387382476,0.408435718822,0.9175,0.244536374668,0.222381719608,0.345237693125
yeast-1-4-5-8_vs_7,0.0666666666667,0.0794422748575,0.0701342631102,0.0795891195595,0.2125,0.0693454229423,0.071062057539,0.064512565892
yeast-2_vs_4,0.908655462185,0.612526087942,0.628974124165,0.602469402237,0.914412189118,0.613529291296,0.658237660738,0.614834316235
glass-0-1-6_vs_2,0.05,0.215348298734,0.195615300878,0.205280830281,0.1,0.196097597721,0.198167565793,0.136209422696
wisconsin,0.962620454221,0.938190777231,0.950029030043,0.937745747529,0.951132634917,0.949857556974,0.953511809751,0.931856833275
glass2,0.02,0.164756663734,0.182075788945,0.180472556339,0.303333333333,0.181256798757,0.17451380585,0.147982589091
glass0,0.650955156345,0.571496079361,0.586286742081,0.570535721927,0.566753940234,0.586358762442,0.606001956869,0.595836587584
glass1,0.72955178435,0.62498268234,0.659585545656,0.625655738348,0.611696220853,0.653402843403,0.707755698956,0.656648800698
glass6,0.856043058249,0.811658341658,0.751637835848,0.776646825397,0.829316867773,0.721329800746,0.757950925886,0.65696440853
poker-8-9_vs_6,1.0,0.225952988391,0.422341878556,0.431698932015,1.0,0.414305974472,0.416373775179,0.295713325624
ecoli4,0.967777777778,0.561988795518,0.61235051713,0.621556956116,0.929595959596,0.633005279035,0.62616004094,0.446360145273
ecoli1,0.845985146141,0.64096140069,0.68918590811,0.670597859748,0.721087297812,0.713054459118,0.739162317981,0.636516850812
ecoli2,0.870643200988,0.551923618654,0.689053573923,0.751008426402,0.81282099024,0.701881844143,0.748969951617,0.644021609539
ecoli3,0.679117382445,0.421679452957,0.462171175342,0.472541063575,0.569344891898,0.473067568397,0.462154682895,0.440890735082
abalone9-18,0.35,0.21736359191,0.209461205976,0.228925483806,0.55,0.21498836264,0.211339795171,0.177163058056
ecoli-0_vs_1,0.997297297297,0.937238246407,0.97084080968,0.979011197432,0.997297297297,0.989248120301,0.976409210865,0.99466571835
page-blocks0,0.86867398152,0.660011164345,0.672554736202,0.660231674889,0.803237875689,0.679697907298,0.704611357361,0.650138217449
yeast3,0.816516215079,0.508499732521,0.585734269876,0.561622386385,0.77311452187,0.577985273942,0.590468951111,0.541760606693
yeast4,0.528474025974,0.199179066376,0.186938144793,0.230583091322,0.498189873852,0.188430515017,0.193166466336,0.149736677948
yeast5,0.737337435984,0.424894434469,0.474703571846,0.486785313514,0.644242373053,0.477177357209,0.482875460546,0.394113357622
yeast6,0.616551120448,0.200958356778,0.210318099697,0.344783310443,0.521802203787,0.211873382482,0.225678219382,0.160985652701
segment0,0.973527332861,0.913782262537,0.928402456336,0.94052108487,0.960942858008,0.928725770805,0.925876852515,0.910150894469
page-blocks-1-3_vs_4,0.867447026658,0.672393037931,0.734078629545,0.725003004877,0.79848973395,0.72444013938,0.723786231884,0.626984689474
glass-0-1-2-3_vs_4-5-6,0.825324500475,0.802567847751,0.812702609464,0.81256373615,0.800102004722,0.811291487964,0.805143501212,0.802191672334
