Dataset,Base,ADASYN,SMOTE,Bord,NCL,SMOTE+TL,SMOTE+ENN,CCR
vehicle3,0.362264150943,0.635849056604,0.698113207547,0.712264150943,0.619811320755,0.694339622641,0.616037735849,0.769811320755
vowel0,0.78,0.968888888889,0.977777777778,0.962222222222,0.78,0.977777777778,0.977777777778,0.955555555556
yeast-1-2-8-9_vs_7,0.02,0.473333333333,0.486666666667,0.453333333334,0.0266666666667,0.486666666667,0.48,0.5
abalone19,0.0,0.10625,0.4,0.125,0.0,0.39375,0.4,0.3125
vehicle0,0.820252525253,0.955797979798,0.957828282828,0.969868686869,0.898575757576,0.954777777778,0.934747474747,0.963878787879
vehicle1,0.448980632008,0.716156982671,0.762283384302,0.773369011213,0.704221882433,0.765044172613,0.679289840299,0.812020047571
yeast-0-5-6-7-9_vs_4,0.285076923077,0.706153846154,0.741230769231,0.713538461538,0.466923076923,0.737692307692,0.721846153846,0.745384615385
new-thyroid1,0.76568627451,0.960130718954,0.966013071895,0.971568627451,0.783006535948,0.954575163399,0.960130718954,0.965359477124
yeast-2_vs_8,0.5,0.65,0.66,0.6,0.5,0.67,0.66,0.63
yeast-1-4-5-8_vs_7,0.0133333333333,0.333333333333,0.393333333333,0.34,0.0266666666667,0.386666666667,0.386666666667,0.506666666667
yeast-2_vs_4,0.599384615385,0.803846153846,0.815692307692,0.788153846154,0.662307692308,0.819538461538,0.819692307692,0.819846153846
glass-0-1-6_vs_2,0.0125,0.576388888889,0.543055555556,0.530555555556,0.0486111111111,0.566666666667,0.543055555556,0.505555555556
wisconsin,0.959831932773,0.981568627451,0.97656162465,0.988277310924,0.970714285714,0.971533613445,0.959852941176,0.989978991597
glass2,0.0125,0.3875,0.484722222222,0.475,0.0736111111111,0.506944444444,0.483333333333,0.698611111111
glass0,0.797142857143,0.9,0.862857142857,0.908571428571,0.9,0.862857142857,0.814285714286,0.854285714286
glass1,0.6,0.736842105263,0.726315789474,0.763157894737,0.747368421053,0.721052631579,0.565789473684,0.731578947369
glass6,0.76,0.849523809524,0.877142857143,0.822380952381,0.766666666667,0.877142857143,0.87,0.876190476191
poker-8-9_vs_6,0.275641025641,0.762820512821,0.896794871795,0.896794871795,0.291025641026,0.888461538462,0.905128205128,0.850641025641
ecoli4,0.8,0.9,0.88,0.87,0.82,0.88,0.88,0.94
ecoli1,0.742914979757,0.869905533063,0.862145748988,0.874966261808,0.867206477733,0.851686909582,0.854318488529,0.934885290148
ecoli2,0.9,0.926923076923,0.919230769231,0.911538461538,0.915384615384,0.923076923077,0.919230769231,0.930769230769
ecoli3,0.622875816993,0.839869281046,0.823202614379,0.817320261438,0.795098039216,0.82908496732,0.811764705882,0.880718954248
abalone9-18,0.0333333333333,0.357142857143,0.547619047619,0.47619047619,0.0523809523809,0.566666666667,0.519047619048,0.519047619048
ecoli-0_vs_1,0.909176788124,0.950607287449,0.940148448043,0.961066126856,0.909176788124,0.94008097166,0.932456140351,0.940215924427
page-blocks0,0.680908858167,0.89266641065,0.879786226319,0.87907578085,0.733860727087,0.873705837173,0.862615207373,0.876543778802
yeast3,0.670174646191,0.870009033424,0.863836193918,0.861367058115,0.731541704306,0.863881361036,0.858988256549,0.890876242096
yeast4,0.154,0.588615384615,0.651538461539,0.616,0.283076923077,0.64,0.651692307692,0.823538461538
yeast5,0.590909090909,0.936363636363,0.909090909091,0.9,0.754545454546,0.918181818182,0.913636363636,0.954545454545
yeast6,0.470588235294,0.778758169935,0.772875816993,0.750653594771,0.606862745098,0.772875816993,0.767320261438,0.829738562091
segment0,0.979331116039,0.994534368071,0.992712490761,0.99270879527,0.981762749446,0.992106430155,0.992712490761,0.99391722099
page-blocks-1-3_vs_4,0.8,0.985714285714,0.978571428571,0.978571428571,0.814285714286,0.978571428571,0.978571428571,0.964285714286
glass-0-1-2-3_vs_4-5-6,0.765384615385,0.894769230769,0.890923076923,0.922153846154,0.781230769231,0.902615384615,0.882769230769,0.922307692308
